Data File Name,NK_JLC_NEXTERA1_High Sensitivity DNA Assay_DE24802700_2017-02-02_14-30-54.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\NKaplan,,
Date Created,"Thursday, February 02, 2017 10:30:54 PM",,
Date Last Modified,"Thursday, February 02, 2017 11:12:15 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.07.SI532,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,sample 1,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
83.8,30.69384,,
83.85,30.89593,,
83.9,31.11362,,
83.95,30.429,,
84,29.88952,,
84.05,30.08406,,
84.1,30.35483,,
84.15,31.06435,,
84.2,31.70715,,
84.25,32.06999,,
84.3,32.13275,,
84.35,32.00144,,
84.4,32.15411,,
84.45,32.45234,,
84.5,32.84708,,
84.55,32.81922,,
84.6,32.61731,,
84.65,32.86518,,
84.7,33.10806,,
84.75,33.877,,
84.8,34.84011,,
84.85,35.09591,,
84.9,34.72564,,
84.95,34.08989,,
85,33.90119,,
85.05,34.20308,,
85.1,35.17946,,
85.15,36.05542,,
85.2,36.13411,,
85.25,35.95405,,
85.3,35.44439,,
85.35,35.24476,,
85.4,35.25471,,
85.45,35.81773,,
85.5,36.03808,,
85.55,36.31075,,
85.6,36.50992,,
85.65,37.18736,,
85.7,37.31093,,
85.75,38.15933,,
85.8,38.18968,,
85.85,38.4683,,
85.9,38.2893,,
85.95,38.21877,,
86,37.80224,,
86.05,37.56821,,
86.1,37.6898,,
86.15,38.21258,,
86.2,38.86824,,
86.25,39.27291,,
86.3,39.77097,,
86.35,40.119,,
86.4,40.00094,,
86.45,40.35682,,
86.5,40.80154,,
86.55,41.09712,,
86.6,40.8643,,
86.65,41.11647,,
86.7,41.38342,,
86.75,41.15799,,
86.8,40.90422,,
