Data File Name,ggoyal_High Sensitivity DNA Assay_DE24802700_2017-12-18_11-08-52.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration,
Date Created,"Monday, December 18, 2017 7:08:52 PM",,
Date Last Modified,"Monday, December 18, 2017 7:41:38 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.07.SI532,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,8,,
 ,,,
Sample Name,0.1,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
46.95,-0.4277245,,
47,-0.4044812,,
47.05,-0.3042167,,
47.1,-0.1752262,,
47.15,-9.00E-02,,
47.2,-0.0617292,,
47.25,-0.1493797,,
47.3,-0.2810932,,
47.35,-0.2760928,,
47.4,-0.2051467,,
47.45,-0.0951793,,
47.5,-4.41E-02,,
47.55,-1.80E-02,,
47.6,-0.1236344,,
47.65,-0.2964242,,
47.7,-0.1950454,,
47.75,-0.0900354,,
47.8,-2.56E-02,,
47.85,0.1275751,,
47.9,0.3444376,,
47.95,0.4189065,,
48,0.2416854,,
48.05,6.42E-02,,
48.1,-1.39E-02,,
48.15,-0.2720234,,
48.2,-0.3058102,,
48.25,-0.2329267,,
48.3,-0.2551304,,
48.35,-0.377295,,
48.4,-0.4389639,,
48.45,-0.5398187,,
48.5,-0.6855154,,
48.55,-0.7817507,,
48.6,-0.7755568,,
48.65,-0.711625,,
48.7,-0.6301106,,
48.75,-0.6856291,,
48.8,-0.8684972,,
48.85,-0.9872676,,
48.9,-0.9853923,,
48.95,-0.9298678,,
49,-0.8172601,,
49.05,-0.6977857,,
49.1,-0.6457318,,
49.15,-0.7121733,,
49.2,-0.6418172,,
49.25,-0.6305252,,
49.3,-0.5449165,,
49.35,-0.4544229,,
49.4,-0.4010578,,
49.45,-0.5322928,,
49.5,-0.6271676,,
49.55,-0.7264313,,
49.6,-0.7394873,,
49.65,-0.6516078,,
49.7,-0.559157,,
49.75,-0.64533,,
49.8,-0.6266875,,
49.85,-0.5588503,,
49.9,-0.4497766,,
49.95,-0.3966505,,
50,-0.4598298,,
50.05,-0.5284512,,
50.1,-0.6176811,,
50.15,-0.5554722,,
50.2,-0.4448997,,
