Data File Name,Nextera2_jlc_High Sensitivity DNA Assay_DE24802700_2016-09-01_11-31-05.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy,,
Date Created,"Thursday, September 01, 2016 6:31:05 PM",,
Date Last Modified,"Friday, November 17, 2017 12:23:26 AM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.08.SI648,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,0.1,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
53.75,-2.187866,,
53.8,-2.113717,,
53.85,-1.9017,,
53.9,-1.776412,,
53.95,-1.727089,,
54,-1.737463,,
54.05,-1.684465,,
54.1,-1.639619,,
54.15,-1.807925,,
54.2,-0.8350257,,
54.25,0.8058745,,
54.3,1.599559,,
54.35,1.350719,,
54.4,0.4482131,,
54.45,-0.8312829,,
54.5,-2.050766,,
54.55,-2.433805,,
54.6,-2.098339,,
54.65,-1.923877,,
54.7,-1.97932,,
54.75,-1.885,,
54.8,-1.75501,,
54.85,-1.595819,,
54.9,-1.472458,,
54.95,-1.489802,,
55,-1.581571,,
55.05,-1.576513,,
55.1,-1.57924,,
55.15,-1.598644,,
55.2,-1.492852,,
55.25,-1.354524,,
55.3,-1.408449,,
55.35,-1.492346,,
55.4,-1.570999,,
55.45,-1.589933,,
55.5,-1.606019,,
55.55,-1.527151,,
55.6,-1.386209,,
55.65,-1.404054,,
55.7,-1.516207,,
55.75,-1.451379,,
55.8,-1.480421,,
55.85,-1.601885,,
55.9,-1.638481,,
55.95,-1.786734,,
56,-1.869675,,
56.05,-1.816844,,
56.1,-1.723797,,
56.15,-1.591772,,
56.2,-1.62035,,
56.25,-1.669862,,
56.3,-1.66091,,
56.35,-1.699622,,
56.4,-1.623814,,
56.45,-1.621097,,
56.5,-1.631904,,
56.55,-1.548992,,
56.6,-1.51621,,
56.65,-1.454166,,
56.7,-1.332463,,
56.75,-1.229587,,
56.8,-1.137964,,
56.85,-1.144448,,
56.9,-1.186341,,
56.95,-1.213189,,
57,-1.142395,,
57.05,-0.9248608,,
57.1,-0.7088929,,
57.15,-0.5849156,,
57.2,-0.6002566,,
57.25,-0.6288239,,
57.3,-0.4869381,,
57.35,-0.3411722,,
57.4,-0.336081,,
57.45,-0.3803672,,
57.5,-0.5163358,,
57.55,-0.6412657,,
57.6,-0.6458092,,
57.65,-0.5482711,,
57.7,-0.5084189,,
57.75,-0.6620233,,
57.8,-0.9015087,,
57.85,-1.025435,,
57.9,-1.011648,,
57.95,-0.9655201,,
58,-1.024086,,
58.05,-1.098106,,
58.1,-1.188501,,
58.15,-1.227611,,
58.2,-1.228912,,
58.25,-1.068259,,
58.3,-0.8531646,,
58.35,-0.9748366,,
58.4,-0.9660151,,
58.45,-0.9876985,,
58.5,-1.010145,,
58.55,-0.9835415,,
58.6,-0.9326422,,
58.65,-0.8361273,,
58.7,-0.7806833,,
58.75,-0.7687908,,
58.8,-0.6127663,,
58.85,-0.338129,,
58.9,-6.30E-02,,
58.95,7.93E-02,,
59,2.67E-03,,
59.05,-0.1466473,,
59.1,-0.2898476,,
59.15,-0.3966729,,
59.2,-0.3853197,,
59.25,-0.3405194,,
59.3,-0.3752994,,
59.35,-0.4088591,,
59.4,-0.3752227,,
59.45,-0.3175131,,
59.5,-0.2826075,,
59.55,-0.2629257,,
59.6,-0.2716212,,
59.65,-0.3510926,,
59.7,-0.4150461,,
59.75,-0.4265258,,
59.8,-0.4735427,,
59.85,-0.5221508,,
59.9,-0.4929781,,
59.95,-0.3973255,,
60,-0.3457671,,
60.05,-0.2775611,,
60.1,-0.1297479,,
60.15,9.61E-03,,
60.2,0.1162067,,
60.25,8.71E-02,,
60.3,1.17E-02,,
60.35,-3.52E-02,,
60.4,-4.00E-02,,
60.45,-6.73E-03,,
60.5,0.0968099,,
60.55,0.2008029,,
60.6,0.1879844,,
60.65,0.2308336,,
60.7,0.3591763,,
60.75,0.4490741,,
60.8,0.2103968,,
60.85,-5.36E-02,,
60.9,-0.133947,,
60.95,-0.048994,,
61,0.1214426,,
61.05,0.2121174,,
61.1,0.1401352,,
61.15,0.1235676,,
61.2,0.1833935,,
61.25,0.2989659,,
61.3,0.4174214,,
61.35,0.4372427,,
61.4,0.3874436,,
61.45,0.3042378,,
61.5,0.308912,,
61.55,0.3739723,,
61.6,0.426329,,
61.65,0.4378043,,
61.7,0.4193169,,
61.75,0.4686598,,
61.8,0.6905271,,
61.85,0.8804607,,
61.9,0.9286201,,
61.95,0.9730833,,
62,0.9237668,,
62.05,0.8387634,,
62.1,0.9762909,,
62.15,1.331653,,
62.2,1.737416,,
62.25,1.897143,,
62.3,2.157949,,
62.35,2.361625,,
62.4,2.352691,,
62.45,2.518315,,
62.5,2.658494,,
62.55,2.792431,,
62.6,2.929992,,
62.65,2.903838,,
62.7,2.934396,,
62.75,2.811511,,
62.8,2.877878,,
62.85,3.01002,,
62.9,3.118116,,
62.95,3.244461,,
63,3.198491,,
63.05,2.969271,,
63.1,2.848003,,
63.15,2.875237,,
63.2,3.122738,,
63.25,3.255677,,
63.3,3.483706,,
63.35,3.663051,,
63.4,3.697037,,
63.45,3.781561,,
63.5,3.829954,,
63.55,3.889802,,
63.6,4.02419,,
63.65,4.112473,,
63.7,4.143241,,
63.75,4.123309,,
63.8,4.229944,,
63.85,4.489938,,
63.9,4.75182,,
63.95,5.076157,,
64,5.293048,,
64.05,5.194286,,
64.1,4.988195,,
64.15,4.955285,,
64.2,5.160327,,
64.25,5.353747,,
64.3,5.360982,,
64.35,5.397491,,
64.4,5.282642,,
64.45,5.169477,,
64.5,5.259191,,
64.55,5.692895,,
64.6,6.169906,,
64.65,6.390371,,
64.7,6.331032,,
64.75,6.465416,,
64.8,6.534686,,
64.85,6.83793,,
64.9,7.17277,,
64.95,7.470109,,
65,7.502116,,
65.05,7.406112,,
65.1,7.486524,,
65.15,7.522147,,
65.2,7.528708,,
65.25,7.865632,,
65.3,8.04431,,
65.35,8.256114,,
65.4,8.424144,,
65.45,8.632459,,
65.5,8.688932,,
65.55,8.53239,,
65.6,8.409657,,
65.65,8.402639,,
65.7,8.555383,,
65.75,8.796504,,
65.8,9.012465,,
65.85,9.053455,,
65.9,8.864347,,
65.95,8.764687,,
66,8.857605,,
66.05,9.025301,,
66.1,9.291087,,
66.15,9.560636,,
66.2,9.508538,,
66.25,9.369925,,
66.3,9.247314,,
66.35,9.167705,,
66.4,9.164379,,
66.45,9.436073,,
66.5,9.736755,,
66.55,9.938728,,
66.6,9.938164,,
66.65,10.00392,,
66.7,9.858342,,
66.75,10.19602,,
66.8,10.5832,,
66.85,11.02124,,
66.9,11.4845,,
66.95,11.44207,,
67,11.36393,,
67.05,11.52899,,
67.1,11.75839,,
67.15,12.28986,,
67.2,12.30893,,
67.25,12.41277,,
67.3,12.29727,,
67.35,11.89864,,
67.4,12.00202,,
67.45,12.33848,,
67.5,12.73288,,
67.55,13.00738,,
67.6,13.0592,,
67.65,13.17524,,
67.7,13.00624,,
