Data File Name,GG_20170621_High Sensitivity DNA Assay_DE24802700_2017-06-21_14-37-03.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\GGoyal,,
Date Created,"Wednesday, June 21, 2017 9:37:03 PM",,
Date Last Modified,"Wednesday, June 21, 2017 10:15:32 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.07.SI532,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,10,,
 ,,,
Sample Name,0.2,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
54.7,-1.152215,,
54.75,-1.372575,,
54.8,-1.731236,,
54.85,-2.057006,,
54.9,-2.217906,,
54.95,-2.131305,,
55,-1.810717,,
55.05,-1.552333,,
55.1,-1.444135,,
55.15,-1.388575,,
55.2,-1.301467,,
55.25,-1.264318,,
55.3,-1.249228,,
55.35,-1.361727,,
55.4,-1.391614,,
55.45,-1.498704,,
55.5,-1.577016,,
55.55,-1.541884,,
55.6,-1.657585,,
55.65,-1.820877,,
55.7,-1.956521,,
55.75,-2.051752,,
55.8,-1.874397,,
55.85,-1.717963,,
55.9,-1.571636,,
55.95,-1.481265,,
56,-1.617171,,
56.05,-1.853829,,
56.1,-2.121352,,
56.15,-2.367904,,
56.2,-2.318792,,
56.25,-2.089504,,
56.3,-1.822015,,
56.35,-1.679918,,
56.4,-1.6633,,
56.45,-1.646944,,
56.5,-1.735657,,
56.55,-1.971016,,
56.6,-2.13605,,
56.65,-2.197942,,
56.7,-2.202134,,
56.75,-2.171953,,
56.8,-1.965122,,
56.85,-1.647099,,
56.9,-1.490607,,
56.95,-1.555206,,
57,-1.707971,,
57.05,-1.779544,,
57.1,-1.831764,,
57.15,-1.905115,,
57.2,-1.830717,,
57.25,-1.720696,,
57.3,-1.721363,,
57.35,-1.734952,,
57.4,-1.643168,,
57.45,-1.426024,,
57.5,-1.306975,,
57.55,-1.434034,,
57.6,-1.649396,,
57.65,-1.79772,,
57.7,-1.870221,,
57.75,-1.925141,,
57.8,-1.911009,,
57.85,-1.795916,,
57.9,-1.690373,,
57.95,-1.716254,,
58,-1.775176,,
58.05,-1.642773,,
58.1,-1.578939,,
58.15,-1.606564,,
58.2,-1.62198,,
58.25,-1.714546,,
58.3,-1.847224,,
58.35,-1.858515,,
58.4,-1.588162,,
58.45,-1.348822,,
58.5,-1.35311,,
58.55,-1.411614,,
58.6,-1.642964,,
58.65,-1.64365,,
58.7,-1.501534,,
58.75,-1.348007,,
58.8,-1.330687,,
58.85,-1.426826,,
58.9,-1.566212,,
58.95,-1.755406,,
59,-1.886308,,
59.05,-1.790794,,
59.1,-1.695472,,
59.15,-1.727723,,
59.2,-1.801835,,
59.25,-1.833753,,
59.3,-1.940613,,
59.35,-2.014925,,
59.4,-1.995717,,
59.45,-1.941652,,
59.5,-1.881738,,
59.55,-1.91894,,
59.6,-1.870069,,
59.65,-1.752006,,
59.7,-1.656321,,
59.75,-1.614681,,
59.8,-1.669971,,
59.85,-1.751168,,
59.9,-1.761102,,
59.95,-1.711444,,
60,-1.5986,,
60.05,-1.485486,,
60.1,-1.450371,,
60.15,-1.446073,,
60.2,-1.510084,,
60.25,-1.51195,,
60.3,-1.396447,,
60.35,-1.417575,,
60.4,-1.644799,,
60.45,-1.867305,,
60.5,-2.014008,,
60.55,-2.110481,,
60.6,-2.045978,,
60.65,-1.852165,,
60.7,-1.647993,,
60.75,-1.651154,,
60.8,-1.696002,,
60.85,-1.629492,,
60.9,-1.45906,,
60.95,-1.29541,,
61,-1.132033,,
61.05,-1.2836,,
61.1,-1.476305,,
61.15,-1.740648,,
61.2,-1.944054,,
61.25,-2.005827,,
61.3,-1.877233,,
61.35,-1.829185,,
61.4,-1.7225,,
61.45,-1.636387,,
61.5,-1.585111,,
61.55,-1.559916,,
61.6,-1.544593,,
61.65,-1.43236,,
61.7,-1.354097,,
61.75,-1.358383,,
61.8,-1.378749,,
61.85,-1.503902,,
61.9,-1.767744,,
61.95,-1.887477,,
62,-1.859486,,
62.05,-1.722656,,
62.1,-1.623634,,
62.15,-1.407863,,
62.2,-1.186252,,
62.25,-1.067378,,
62.3,-1.123954,,
62.35,-1.246592,,
62.4,-1.394077,,
62.45,-1.577641,,
62.5,-1.686394,,
62.55,-1.64787,,
62.6,-1.567166,,
62.65,-1.558629,,
62.7,-1.700133,,
62.75,-1.908747,,
62.8,-1.862175,,
62.85,-1.744452,,
62.9,-1.53549,,
62.95,-1.291719,,
63,-1.230303,,
63.05,-1.361272,,
63.1,-1.455527,,
63.15,-1.437656,,
63.2,-1.35939,,
63.25,-1.388478,,
63.3,-1.32015,,
63.35,-1.268379,,
63.4,-1.116442,,
63.45,-0.7863375,,
63.5,-0.5450587,,
63.55,-0.6272358,,
63.6,-0.7868393,,
63.65,-0.9302593,,
63.7,-0.9504765,,
63.75,-1.125289,,
63.8,-1.157586,,
63.85,-1.282688,,
63.9,-1.342716,,
63.95,-1.373974,,
64,-1.382913,,
64.05,-1.288366,,
64.1,-1.189386,,
64.15,-1.209158,,
64.2,-1.155313,,
64.25,-0.8565198,,
64.3,-0.5386435,,
64.35,-0.3653733,,
64.4,-0.3072449,,
64.45,-0.2994068,,
64.5,-0.4534527,,
64.55,-0.5730838,,
64.6,-0.5324156,,
64.65,-0.3829038,,
64.7,-0.46777,,
64.75,-0.6594797,,
64.8,-0.8375553,,
64.85,-0.8786224,,
64.9,-0.7293357,,
64.95,-0.5415131,,
65,-0.4563622,,
65.05,-0.5032837,,
65.1,-0.6920717,,
65.15,-0.8189169,,
65.2,-0.7240411,,
65.25,-0.5818868,,
65.3,-0.4424303,,
65.35,-0.3475218,,
65.4,-0.3599304,,
65.45,-0.3265494,,
65.5,-0.228134,,
65.55,-9.96E-02,,
65.6,5.39E-02,,
65.65,0.117626,,
65.7,0.1391791,,
65.75,0.123553,,
65.8,2.49E-02,,
65.85,-7.50E-02,,
65.9,-0.2347218,,
65.95,-0.443959,,
66,-0.4060946,,
66.05,-0.2956078,,
66.1,-5.97E-03,,
66.15,0.1896481,,
66.2,0.0650775,,
66.25,-0.2347086,,
66.3,-0.5170171,,
66.35,-0.6977278,,
66.4,-0.6922228,,
66.45,-0.5717445,,
66.5,-0.1928139,,
66.55,-0.111071,,
66.6,-0.1269848,,
66.65,3.42E-02,,
66.7,0.3222112,,
66.75,0.4310402,,
66.8,0.4069963,,
66.85,0.3093101,,
66.9,0.2364739,,
66.95,0.0644133,,
67,-6.61E-03,,
67.05,0.1190109,,
67.1,0.3248463,,
67.15,0.505069,,
67.2,0.6989973,,
67.25,0.8935525,,
67.3,1.077446,,
67.35,1.10418,,
67.4,1.100587,,
67.45,1.103588,,
67.5,1.056242,,
67.55,0.9576604,,
67.6,0.9066413,,
67.65,1.008059,,
67.7,1.212563,,
67.75,1.372094,,
67.8,1.49355,,
67.85,1.649154,,
67.9,1.756137,,
67.95,1.816272,,
68,1.802512,,
68.05,1.706001,,
68.1,1.551273,,
68.15,1.17656,,
68.2,0.9476088,,
68.25,1.102667,,
68.3,1.615565,,
68.35,2.094756,,
68.4,2.31204,,
68.45,2.272328,,
68.5,2.090368,,
68.55,1.645081,,
68.6,1.466041,,
68.65,1.468182,,
68.7,1.593633,,
68.75,1.83961,,
68.8,1.993256,,
68.85,2.186887,,
68.9,2.472472,,
68.95,2.654467,,
69,2.715895,,
69.05,2.941825,,
69.1,2.823936,,
69.15,2.868505,,
69.2,2.75115,,
69.25,2.67212,,
69.3,2.874308,,
69.35,2.822032,,
69.4,2.639306,,
69.45,2.692262,,
69.5,2.679675,,
69.55,2.79863,,
69.6,2.891046,,
69.65,3.041349,,
69.7,3.125483,,
69.75,2.988437,,
69.8,2.924778,,
69.85,3.004259,,
69.9,3.137637,,
69.95,3.362221,,
70,3.618424,,
70.05,3.789196,,
70.1,3.817944,,
70.15,3.831394,,
70.2,3.851066,,
70.25,3.965437,,
70.3,4.096704,,
70.35,4.138346,,
70.4,4.215262,,
70.45,4.343231,,
70.5,4.533576,,
70.55,4.631927,,
70.6,4.61877,,
70.65,4.578498,,
70.7,4.447966,,
70.75,4.244064,,
70.8,4.359468,,
70.85,4.563776,,
70.9,4.784812,,
70.95,4.898619,,
71,4.880126,,
71.05,4.720562,,
71.1,4.856493,,
71.15,5.252327,,
71.2,5.689581,,
71.25,5.906717,,
71.3,5.795318,,
71.35,5.578948,,
71.4,5.216639,,
71.45,4.973161,,
71.5,5.336019,,
71.55,5.659685,,
71.6,5.807556,,
71.65,5.705775,,
71.7,5.546991,,
71.75,5.575153,,
71.8,5.581326,,
71.85,5.684426,,
71.9,5.742701,,
71.95,5.585334,,
72,5.168437,,
72.05,5.004533,,
72.1,5.196424,,
72.15,5.71645,,
72.2,6.150218,,
72.25,6.435633,,
72.3,6.33286,,
72.35,6.247019,,
72.4,6.359467,,
72.45,6.461137,,
72.5,6.614368,,
72.55,6.881091,,
72.6,7.04106,,
72.65,6.966053,,
72.7,6.92752,,
72.75,7.114588,,
72.8,7.272354,,
72.85,7.214308,,
72.9,7.375953,,
72.95,7.731802,,
73,7.789442,,
73.05,7.757124,,
73.1,7.963569,,
73.15,8.359275,,
73.2,8.55772,,
73.25,8.536702,,
73.3,8.521624,,
73.35,8.438233,,
73.4,8.320579,,
73.45,8.516325,,
73.5,8.880855,,
73.55,9.079784,,
73.6,9.220894,,
73.65,9.111263,,
73.7,9.001945,,
73.75,8.724084,,
73.8,8.911238,,
73.85,9.187366,,
73.9,9.410631,,
73.95,9.582888,,
74,9.924393,,
74.05,9.948869,,
74.1,10.13227,,
74.15,10.41716,,
74.2,10.77084,,
74.25,10.82433,,
74.3,10.62923,,
74.35,10.27278,,
74.4,9.981987,,
74.45,9.839487,,
74.5,9.713663,,
74.55,9.641105,,
74.6,9.93253,,
74.65,10.24847,,
74.7,10.48958,,
74.75,10.66201,,
74.8,10.68196,,
74.85,10.8897,,
74.9,10.89529,,
74.95,10.99035,,
75,11.14282,,
75.05,10.96114,,
75.1,10.75944,,
75.15,10.73804,,
75.2,10.71178,,
75.25,10.75813,,
75.3,10.89622,,
75.35,11.14038,,
75.4,11.31753,,
75.45,11.4546,,
75.5,11.85825,,
75.55,12.31426,,
75.6,12.55537,,
75.65,12.77383,,
75.7,13.19613,,
75.75,13.5684,,
75.8,13.5247,,
75.85,13.3427,,
75.9,13.10954,,
75.95,13.02203,,
76,13.35956,,
76.05,13.72548,,
76.1,14.10081,,
76.15,14.51857,,
76.2,14.51067,,
76.25,14.55157,,
76.3,14.43043,,
76.35,14.3312,,
76.4,14.43364,,
76.45,14.32135,,
76.5,14.3573,,
76.55,14.44383,,
76.6,14.63628,,
76.65,14.77448,,
76.7,14.77245,,
76.75,15.34513,,
76.8,15.78714,,
