Data File Name,Ggoyal_High Sensitivity DNA Assay_DE24802700_2018-03-20_12-29-39.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration,
Date Created,"Tuesday, March 20, 2018 7:29:39 PM",,
Date Last Modified,"Tuesday, March 20, 2018 9:37:10 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.07.SI532,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,7,,
 ,,,
Sample Name,0.2,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
48.4,0.8550091,,
48.45,0.721036,,
48.5,0.5856091,,
48.55,0.5268751,,
48.6,0.5019031,,
48.65,0.4576183,,
48.7,0.3713376,,
48.75,0.2769409,,
48.8,0.2506883,,
48.85,0.2466723,,
48.9,0.2431797,,
48.95,0.3035182,,
49,0.2800299,,
49.05,0.1572744,,
49.1,0.0802568,,
49.15,2.59E-02,,
49.2,2.75E-02,,
49.25,4.57E-02,,
49.3,0.1292044,,
49.35,0.1731209,,
49.4,0.1422266,,
49.45,9.63E-02,,
49.5,5.50E-02,,
49.55,-1.76E-02,,
49.6,-9.49E-02,,
49.65,-0.1110441,,
49.7,-8.84E-02,,
49.75,-7.81E-02,,
49.8,-0.1394916,,
49.85,-0.1126274,,
49.9,-7.18E-02,,
49.95,-6.74E-02,,
50,-0.1065634,,
50.05,-0.1362206,,
50.1,-0.1560993,,
50.15,-0.1940182,,
50.2,-0.243126,,
50.25,-0.2773277,,
50.3,-0.2722417,,
50.35,-0.2655663,,
50.4,-0.2715072,,
50.45,-0.2704531,,
50.5,-0.2469948,,
50.55,-0.1926876,,
50.6,-0.1488092,,
50.65,-5.84E-02,,
50.7,3.19E-02,,
50.75,9.86E-02,,
50.8,1.15E-02,,
50.85,-2.83E-02,,
50.9,-9.97E-02,,
50.95,-0.1620136,,
51,-0.2034979,,
51.05,-0.1830696,,
51.1,-0.1494227,,
51.15,-8.49E-02,,
51.2,-4.30E-02,,
51.25,-1.07E-02,,
51.3,1.91E-02,,
51.35,-6.46E-03,,
51.4,-3.50E-02,,
51.45,-3.36E-02,,
51.5,-2.85E-02,,
51.55,1.06E-02,,
51.6,-2.25E-02,,
51.65,-0.1269019,,
51.7,-0.1381215,,
51.75,-0.156105,,
51.8,-5.97E-02,,
51.85,2.24E-02,,
51.9,8.68E-02,,
51.95,0.1064216,,
52,0.1235699,,
52.05,0.1297252,,
52.1,0.1687823,,
