Data File Name,Ggoyal_High Sensitivity DNA Assay_DE24802700_2018-02-06_13-10-41.xad
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration
Date Created,"Tuesday, February 06, 2018 9:10:42 PM"
Date Last Modified,"Tuesday, February 06, 2018 10:15:47 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.07.SI532
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
46.3,1.299193
46.35,1.370717
46.4,1.376802
46.45,1.31602
46.5,1.27488
46.55,1.259588
46.6,1.274898
46.65,1.205122
46.7,1.117834
46.75,0.9938366
46.8,0.8514025
46.85,0.7853197
46.9,0.7754004
46.95,0.774699
47,0.7663269
47.05,0.7651611
47.1,0.8293567
47.15,0.8443561
47.2,0.8811169
47.25,0.8541365
47.3,0.8189237
47.35,0.7822128
47.4,0.7527052
47.45,0.7925085
47.5,0.7819099
47.55,0.6651275
47.6,0.5524281
47.65,0.4734162
47.7,0.4798246
47.75,0.4835105
47.8,0.4779056
47.85,0.4763306
47.9,0.4276263
47.95,0.4386974
48,0.4751808
48.05,0.4794454
48.1,0.4670236
48.15,0.4263116
48.2,0.3829747
48.25,0.3557596
48.3,0.3470001
48.35,0.3535268
48.4,0.356546
48.45,0.4102442
48.5,0.4967062
48.55,0.5556191
48.6,0.5777307
48.65,0.5931323
48.7,0.5584929
48.75,0.4779734
48.8,0.4285441
48.85,0.4211482
48.9,0.3828892
48.95,0.4035624
49,0.3926697
49.05,0.4308643
49.1,0.4216293
49.15,0.4983893
49.2,0.5482036
49.25,0.5165306
49.3,0.4718557
49.35,0.4766096
49.4,0.4373927
49.45,0.4243851
49.5,0.4466476
49.55,0.6071119
49.6,1.111232
49.65,2.40096
49.7,5.038736
49.75,9.660536
49.8,16.68556
49.85,25.83957
49.9,35.96843
49.95,45.21579
50,51.6512
50.05,53.71652
50.1,50.90226
50.15,44.05857
50.2,34.85854
50.25,25.29972
50.3,16.98218
50.35,10.82715
50.4,6.838735
50.45,4.455419
50.5,3.217132
50.55,2.55717
50.6,2.169025
50.65,1.858443
50.7,1.597339
50.75,1.341349
50.8,1.075945
50.85,0.9690999
50.9,0.8357988
50.95,0.7378173
51,0.7287292
51.05,0.6697689
51.1,0.6247312
51.15,0.5839974
51.2,0.5802917
51.25,0.678621
51.3,0.7566326
51.35,0.8128124
51.4,0.7553933
51.45,0.6938871
51.5,0.656044
51.55,0.6155586
51.6,0.6552681
51.65,0.6953599
51.7,0.6378449
51.75,0.5565169
51.8,0.5052547
51.85,0.4566972
51.9,0.4055761
51.95,0.3745369
52,0.3003363
52.05,0.2126617
52.1,0.1586734
52.15,0.0764221
52.2,-3.822806E-03
52.25,-6.009686E-03
52.3,7.291979E-02
52.35,0.1375754
52.4,0.1248105
52.45,0.0399186
52.5,-0.1221355
52.55,-0.2498511
52.6,-0.2316828
52.65,-0.1038543
52.7,-4.883714E-02
52.75,-5.048721E-02
52.8,-0.1528431
52.85,-0.2682362
52.9,-0.3129863
52.95,-0.3522814
53,-0.2902679
53.05,-0.2569204
53.1,-0.1906108
53.15,-0.1893179
53.2,-0.2792504
53.25,-0.3277451
