Data File Name,nextera4_jlc_High Sensitivity DNA Assay_DE24802700_2016-11-10_11-15-46.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy,,
Date Created,"Thursday, November 10, 2016 7:15:46 PM",,
Date Last Modified,"Thursday, November 16, 2017 8:08:45 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.08.SI648,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,10,,
 ,,,
Sample Name,20161111,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
46.45,5.541677,,
46.5,4.859561,,
46.55,4.198596,,
46.6,3.582939,,
46.65,3.154963,,
46.7,2.784607,,
46.75,2.368019,,
46.8,1.950447,,
46.85,1.555991,,
46.9,1.200014,,
46.95,0.9092782,,
47,0.7715148,,
47.05,0.6429626,,
47.1,0.6268408,,
47.15,0.5098261,,
47.2,0.5261987,,
47.25,0.7349399,,
47.3,0.9742288,,
47.35,1.148088,,
47.4,1.270512,,
47.45,1.257411,,
47.5,1.098951,,
47.55,1.01524,,
47.6,1.029483,,
47.65,1.09764,,
47.7,1.132311,,
47.75,1.032814,,
47.8,0.9658135,,
47.85,0.8586904,,
47.9,0.7243273,,
47.95,0.667501,,
48,0.6705019,,
48.05,0.6762531,,
48.1,0.6701821,,
48.15,0.6612784,,
48.2,0.6573691,,
48.25,0.6852491,,
48.3,0.7557748,,
48.35,0.7315892,,
48.4,0.7308829,,
48.45,0.7306864,,
48.5,0.7346118,,
48.55,0.6916225,,
48.6,0.639149,,
48.65,0.6214288,,
48.7,0.618613,,
48.75,0.5743436,,
48.8,0.4708749,,
48.85,0.3062848,,
48.9,8.53E-02,,
48.95,-9.62E-02,,
49,-0.2472684,,
49.05,-0.3600154,,
49.1,-0.3463988,,
49.15,-0.3113453,,
49.2,-0.2951536,,
49.25,-0.2935421,,
49.3,-0.3178223,,
49.35,-0.3346362,,
49.4,-0.3865522,,
49.45,-0.4788192,,
49.5,-0.5372211,,
49.55,-0.5189365,,
49.6,-0.4401988,,
49.65,-0.3324762,,
49.7,-0.3104985,,
