Data File Name,JAM,_JLC_High Sensitivity DNA Assay_DE24802700_2017-09-06_14-50-13.xad,
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy,,
Date Created,"Wednesday, September 06, 2017 9:50:13 PM",,
Date Last Modified,"Thursday, November 16, 2017 8:08:48 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.08.SI648,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,nextera0.1,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
47.65,-7.470582,,
47.7,-7.468265,,
47.75,-8.166074,,
47.8,-9.268287,,
47.85,-10.30207,,
47.9,-10.9921,,
47.95,-11.0839,,
48,-10.36455,,
48.05,-9.732897,,
48.1,-9.693975,,
48.15,-9.854021,,
48.2,-9.800133,,
48.25,-9.154446,,
48.3,-8.261217,,
48.35,-7.679288,,
48.4,-7.811826,,
48.45,-8.923975,,
48.5,-10.87646,,
48.55,-12.82897,,
48.6,-14.22467,,
48.65,-14.67507,,
48.7,-14.38301,,
48.75,-14.10036,,
48.8,-14.02938,,
48.85,-13.78478,,
48.9,-13.40674,,
48.95,-13.01699,,
49,-12.17151,,
49.05,-11.24292,,
49.1,-10.86823,,
49.15,-11.68281,,
49.2,-13.12036,,
49.25,-14.59435,,
49.3,-16.0498,,
49.35,-16.9742,,
49.4,-16.34841,,
49.45,-15.20619,,
49.5,-14.46364,,
49.55,-14.25368,,
49.6,-13.587,,
49.65,-13.03933,,
49.7,-12.99832,,
49.75,-13.01087,,
49.8,-13.53314,,
49.85,-14.70235,,
49.9,-15.85259,,
49.95,-16.45345,,
50,-16.28039,,
50.05,-15.7705,,
50.1,-15.07383,,
50.15,-14.29471,,
50.2,-14.16515,,
50.25,-14.38808,,
50.3,-14.30226,,
50.35,-13.98235,,
50.4,-13.73053,,
50.45,-13.57746,,
50.5,-13.58241,,
50.55,-13.94554,,
50.6,-14.36536,,
50.65,-14.29914,,
50.7,-13.69975,,
50.75,-13.01189,,
50.8,-12.25225,,
50.85,-11.84381,,
50.9,-11.88046,,
50.95,-12.78432,,
51,-13.57129,,
51.05,-14.33011,,
51.1,-15.42289,,
51.15,-15.98674,,
51.2,-15.4248,,
51.25,-14.72293,,
51.3,-14.28428,,
51.35,-14.46211,,
51.4,-14.57254,,
51.45,-15.03621,,
51.5,-15.59299,,
51.55,-15.81848,,
51.6,-15.87743,,
51.65,-15.94363,,
51.7,-16.00907,,
51.75,-15.75485,,
51.8,-15.12084,,
51.85,-14.59052,,
51.9,-14.36911,,
51.95,-14.55567,,
52,-14.99695,,
52.05,-15.24007,,
52.1,-15.36432,,
52.15,-15.62656,,
52.2,-16.01763,,
52.25,-16.6311,,
52.3,-17.18555,,
52.35,-17.41326,,
52.4,-17.04943,,
52.45,-15.83146,,
52.5,-14.57208,,
52.55,-14.37304,,
52.6,-14.89694,,
52.65,-15.42449,,
52.7,-15.9198,,
52.75,-16.63644,,
52.8,-16.66374,,
52.85,-16.07207,,
52.9,-15.07058,,
52.95,-14.27792,,
53,-13.67663,,
53.05,-13.49878,,
53.1,-13.72587,,
53.15,-14.36699,,
53.2,-14.84215,,
53.25,-15.03699,,
53.3,-14.68827,,
53.35,-14.12267,,
53.4,-13.35996,,
53.45,-12.77716,,
53.5,-12.90623,,
53.55,-13.69414,,
53.6,-14.42241,,
53.65,-14.63282,,
53.7,-14.46879,,
53.75,-14.06511,,
53.8,-13.4688,,
53.85,-12.93701,,
53.9,-12.68312,,
53.95,-12.29843,,
54,-11.72669,,
54.05,-11.37199,,
54.1,-11.26625,,
54.15,-11.11186,,
54.2,-11.00199,,
54.25,-10.74702,,
54.3,-11.25144,,
54.35,-11.6908,,
54.4,-12.05577,,
54.45,-12.22196,,
54.5,-12.2125,,
54.55,-12.0362,,
54.6,-12.24654,,
54.65,-13.00078,,
54.7,-14.31119,,
54.75,-15.00474,,
54.8,-14.97067,,
54.85,-14.56261,,
54.9,-13.98447,,
54.95,-13.37504,,
55,-13.52434,,
55.05,-14.21154,,
55.1,-14.67911,,
55.15,-14.72964,,
55.2,-14.75195,,
55.25,-15.17343,,
55.3,-15.90047,,
55.35,-16.51241,,
55.4,-16.78825,,
55.45,-16.5216,,
55.5,-15.75126,,
55.55,-15.16487,,
55.6,-14.96612,,
55.65,-15.25933,,
55.7,-15.38992,,
55.75,-15.07512,,
55.8,-14.60636,,
55.85,-14.35031,,
55.9,-14.28602,,
55.95,-14.16041,,
56,-13.37929,,
56.05,-12.69895,,
56.1,-12.09553,,
56.15,-11.93736,,
56.2,-12.65725,,
56.25,-13.81813,,
56.3,-15.07197,,
56.35,-15.98209,,
56.4,-16.00091,,
56.45,-15.83423,,
56.5,-15.91787,,
56.55,-16.00529,,
56.6,-15.75475,,
56.65,-15.45051,,
56.7,-15.62076,,
56.75,-16.06749,,
56.8,-16.43964,,
56.85,-16.85238,,
56.9,-17.09205,,
56.95,-16.67167,,
57,-15.907,,
57.05,-15.62808,,
57.1,-15.90127,,
57.15,-16.09027,,
57.2,-16.10524,,
57.25,-16.12906,,
57.3,-16.04308,,
57.35,-15.81965,,
57.4,-15.85278,,
57.45,-16.09675,,
57.5,-16.10041,,
57.55,-15.75301,,
57.6,-15.26558,,
57.65,-14.78878,,
57.7,-14.62104,,
57.75,-14.40837,,
57.8,-14.08429,,
57.85,-13.73922,,
57.9,-13.29686,,
57.95,-13.15169,,
58,-13.2535,,
58.05,-13.73677,,
58.1,-14.29856,,
58.15,-14.48488,,
58.2,-14.1072,,
58.25,-13.38367,,
58.3,-12.64756,,
58.35,-12.30503,,
58.4,-12.29037,,
58.45,-12.45663,,
58.5,-12.69797,,
58.55,-13.07786,,
58.6,-13.77433,,
58.65,-14.8397,,
58.7,-16.20783,,
58.75,-17.33116,,
58.8,-17.82723,,
58.85,-17.83133,,
58.9,-17.54666,,
58.95,-16.87897,,
59,-16.32323,,
59.05,-16.18774,,
59.1,-16.73029,,
59.15,-17.0078,,
59.2,-16.83203,,
59.25,-16.80465,,
59.3,-16.71145,,
59.35,-16.49056,,
59.4,-16.18815,,
59.45,-16.32481,,
59.5,-16.80341,,
59.55,-16.93066,,
59.6,-16.67988,,
59.65,-16.3022,,
59.7,-16.01126,,
59.75,-15.76743,,
59.8,-15.65136,,
59.85,-15.83246,,
59.9,-16.02987,,
59.95,-16.05899,,
60,-16.04909,,
60.05,-16.14182,,
60.1,-16.45627,,
60.15,-16.84919,,
60.2,-17.06887,,
60.25,-17.31235,,
60.3,-17.77301,,
60.35,-18.23307,,
60.4,-18.4866,,
60.45,-18.27364,,
60.5,-17.68098,,
60.55,-16.81636,,
60.6,-15.86076,,
60.65,-15.79016,,
60.7,-17.0422,,
60.75,-18.82233,,
60.8,-20.0155,,
60.85,-20.11675,,
60.9,-18.82644,,
60.95,-16.67349,,
61,-14.57321,,
61.05,-13.50604,,
61.1,-13.35059,,
61.15,-14.08467,,
61.2,-15.3215,,
61.25,-16.71401,,
61.3,-17.67812,,
61.35,-17.89503,,
61.4,-17.39798,,
61.45,-16.67882,,
61.5,-16.2755,,
61.55,-16.29539,,
61.6,-16.26857,,
61.65,-15.85622,,
61.7,-15.43416,,
61.75,-15.56704,,
61.8,-16.12892,,
61.85,-16.39274,,
61.9,-16.1541,,
61.95,-15.69002,,
62,-15.06325,,
62.05,-14.65136,,
62.1,-14.52037,,
62.15,-14.60807,,
62.2,-14.60325,,
62.25,-14.28095,,
62.3,-14.23422,,
62.35,-14.92056,,
62.4,-14.90995,,
62.45,-14.65457,,
62.5,-14.33594,,
62.55,-14.0522,,
62.6,-13.52052,,
62.65,-13.00844,,
62.7,-13.06656,,
62.75,-13.65965,,
62.8,-13.52806,,
62.85,-12.78474,,
62.9,-12.45764,,
62.95,-13.0318,,
63,-14.25148,,
63.05,-15.61594,,
63.1,-16.7573,,
63.15,-17.1689,,
63.2,-16.6618,,
63.25,-15.21686,,
63.3,-13.69222,,
63.35,-12.83558,,
63.4,-12.60693,,
63.45,-12.76677,,
63.5,-12.94134,,
63.55,-12.9353,,
63.6,-12.8363,,
63.65,-12.47865,,
63.7,-12.0103,,
63.75,-12.22977,,
63.8,-13.18694,,
63.85,-14.49628,,
63.9,-15.39013,,
63.95,-15.74401,,
64,-15.72967,,
64.05,-15.04989,,
64.1,-14.16874,,
64.15,-13.3608,,
64.2,-13.0696,,
64.25,-13.05414,,
64.3,-13.18871,,
64.35,-13.31786,,
64.4,-12.92009,,
64.45,-12.18989,,
64.5,-11.8068,,
64.55,-11.75561,,
64.6,-11.88619,,
64.65,-12.09049,,
64.7,-12.55616,,
64.75,-12.96889,,
64.8,-13.0967,,
64.85,-13.27646,,
64.9,-13.59122,,
64.95,-13.74631,,
65,-13.55719,,
65.05,-13.26554,,
65.1,-13.1061,,
65.15,-12.91251,,
65.2,-12.55478,,
65.25,-12.29003,,
65.3,-12.23616,,
65.35,-11.89339,,
65.4,-11.71585,,
65.45,-12.0064,,
65.5,-12.40999,,
65.55,-12.39085,,
65.6,-12.62076,,
65.65,-12.87738,,
65.7,-12.68295,,
65.75,-11.70002,,
65.8,-11.04701,,
65.85,-10.53907,,
65.9,-10.12134,,
65.95,-9.965878,,
66,-10.22832,,
66.05,-10.16848,,
66.1,-9.982424,,
66.15,-10.28176,,
66.2,-10.98654,,
66.25,-11.72202,,
66.3,-12.26387,,
66.35,-12.27344,,
66.4,-11.82362,,
66.45,-10.99348,,
66.5,-9.891832,,
66.55,-8.810193,,
66.6,-8.189206,,
66.65,-8.263759,,
66.7,-8.606193,,
66.75,-8.709355,,
66.8,-8.745393,,
66.85,-8.806062,,
66.9,-8.627867,,
66.95,-8.690453,,
67,-9.440767,,
67.05,-10.40709,,
67.1,-10.99873,,
67.15,-11.02625,,
67.2,-11.1537,,
67.25,-11.05996,,
67.3,-10.66554,,
67.35,-10.43007,,
67.4,-10.53524,,
67.45,-10.57112,,
67.5,-10.59512,,
67.55,-10.72416,,
67.6,-10.87442,,
67.65,-10.50093,,
67.7,-10.06151,,
67.75,-9.97412,,
67.8,-9.589855,,
67.85,-8.793217,,
67.9,-8.014585,,
67.95,-7.766996,,
68,-7.810257,,
68.05,-8.080558,,
68.1,-8.366418,,
68.15,-8.615114,,
68.2,-8.428583,,
68.25,-7.867249,,
68.3,-7.348611,,
68.35,-6.68995,,
68.4,-5.817032,,
68.45,-5.175857,,
68.5,-5.055538,,
68.55,-5.208436,,
68.6,-5.226613,,
68.65,-4.860239,,
68.7,-4.602316,,
68.75,-4.231868,,
68.8,-4.205678,,
68.85,-5.038093,,
68.9,-6.61483,,
68.95,-7.844934,,
69,-8.41433,,
69.05,-7.861715,,
69.1,-7.324819,,
69.15,-6.142679,,
69.2,-4.545679,,
69.25,-3.192576,,
69.3,-2.888547,,
69.35,-2.629852,,
69.4,-2.102884,,
69.45,-1.615517,,
69.5,-1.368703,,
69.55,-1.226103,,
69.6,-1.327649,,
69.65,-1.945691,,
69.7,-2.859938,,
69.75,-3.262611,,
69.8,-2.993689,,
69.85,-2.199963,,
69.9,-1.152206,,
69.95,-0.5808605,,
70,-0.6104293,,
70.05,-0.7648325,,
70.1,-0.9894575,,
70.15,-1.131978,,
70.2,-0.7847009,,
70.25,0.2173704,,
70.3,1.264221,,
70.35,2.13321,,
70.4,3.046336,,
70.45,3.673882,,
70.5,3.738653,,
70.55,3.888754,,
70.6,3.793311,,
70.65,4.200551,,
70.7,4.481016,,
70.75,4.993919,,
70.8,4.648885,,
70.85,3.883568,,
70.9,3.531691,,
70.95,4.120933,,
71,5.217654,,
71.05,6.610858,,
71.1,7.317568,,
71.15,7.105916,,
71.2,6.3056,,
71.25,5.629139,,
71.3,5.300326,,
71.35,5.10501,,
71.4,4.768367,,
71.45,4.569166,,
71.5,4.574505,,
71.55,4.552543,,
71.6,4.341934,,
71.65,3.943997,,
71.7,3.686836,,
71.75,3.606925,,
71.8,3.833268,,
71.85,4.768766,,
71.9,5.647164,,
71.95,5.993403,,
72,5.918797,,
72.05,5.612998,,
72.1,5.580175,,
72.15,6.081349,,
72.2,6.002536,,
72.25,6.11168,,
72.3,5.659896,,
72.35,5.409698,,
72.4,5.615803,,
72.45,5.931084,,
72.5,6.053338,,
72.55,5.793104,,
72.6,4.785645,,
72.65,4.31117,,
72.7,4.428408,,
72.75,5.319265,,
72.8,6.719498,,
72.85,8.043422,,
72.9,9.108248,,
72.95,10.23919,,
73,11.15849,,
73.05,11.71501,,
73.1,11.59029,,
73.15,10.73113,,
73.2,10.03386,,
73.25,10.00776,,
73.3,10.3702,,
73.35,10.96611,,
73.4,11.5285,,
73.45,11.57792,,
73.5,11.07975,,
73.55,10.44434,,
73.6,10.32994,,
73.65,10.48429,,
73.7,10.14329,,
73.75,10.11923,,
73.8,9.865065,,
73.85,9.79295,,
73.9,10.15014,,
73.95,11.10331,,
74,12.85689,,
74.05,14.81823,,
74.1,16.59682,,
74.15,17.43977,,
74.2,17.03137,,
74.25,16.61907,,
74.3,16.57102,,
74.35,16.99861,,
74.4,17.70907,,
74.45,17.92652,,
74.5,17.30418,,
74.55,16.04692,,
74.6,15.03989,,
74.65,14.60772,,
74.7,14.50735,,
74.75,14.83269,,
74.8,15.26144,,
74.85,15.2956,,
74.9,15.3157,,
74.95,15.89779,,
75,17.03084,,
75.05,18.47018,,
75.1,20.24884,,
75.15,22.00558,,
75.2,23.08748,,
75.25,22.72766,,
