Data File Name,JAM,_JLC_High Sensitivity DNA Assay_DE24802700_2017-09-06_14-50-13.xad
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy
Date Created,"Wednesday, September 06, 2017 9:50:13 PM"
Date Last Modified,"Thursday, November 16, 2017 8:08:48 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
57.45,1.049842
57.5,0.8200085
57.55,0.6968621
57.6,0.7339659
57.65,0.5655075
57.7,0.3340198
57.75,0.2980892
57.8,0.2062558
57.85,0.1587429
57.9,0.1331676
57.95,0.1302818
58,9.501828E-02
58.05,0.1614619
58.1,0.2000712
58.15,0.1654217
58.2,-6.847576E-03
58.25,-0.1520948
58.3,-0.2833079
58.35,-0.2939062
58.4,-0.2828754
58.45,-0.2404028
58.5,-0.3147712
58.55,-0.4222339
58.6,-0.454081
58.65,-0.3695272
58.7,-0.3308243
58.75,-0.1783311
58.8,-8.462636E-02
58.85,-0.1099722
58.9,-0.1231443
58.95,-6.199937E-02
59,-3.148959E-02
59.05,-5.453875E-02
59.1,-3.062911E-02
59.15,-8.351482E-02
59.2,-0.2003703
59.25,-0.1496898
59.3,-9.740677E-02
59.35,-4.362449E-02
59.4,-7.955471E-02
59.45,-0.136347
59.5,-0.2112088
59.55,-0.2910861
59.6,-0.2183134
59.65,-6.976051E-02
59.7,2.893568E-02
59.75,9.45155E-03
59.8,-2.169057E-02
59.85,6.849248E-02
59.9,0.1036705
59.95,0.2567
60,0.2728684
60.05,0.2779124
60.1,0.2553457
60.15,0.1286759
60.2,0.2735423
60.25,1.338027
60.3,5.103202
60.35,15.50904
60.4,37.01588
60.45,74.20062
60.5,127.114
60.55,192.4978
60.6,259.138
60.65,312.7628
60.7,342.0988
60.75,339.0132
60.8,304.8466
60.85,248.6139
60.9,183.1878
60.95,122.2343
61,74.82139
61.05,45.20328
61.1,29.93824
61.15,23.29661
61.2,20.46416
61.25,18.5388
61.3,16.42105
61.35,14.89367
61.4,13.42449
61.45,12.03443
61.5,10.77182
61.55,9.652676
61.6,8.614884
61.65,7.607947
61.7,6.655566
61.75,5.741441
61.8,4.888776
61.85,4.207489
61.9,3.709336
61.95,3.3134
62,2.950979
62.05,2.686
62.1,2.503646
62.15,2.303337
62.2,1.954881
62.25,1.747206
62.3,1.518802
62.35,1.330059
62.4,1.09084
62.45,0.8301003
62.5,0.59962
62.55,0.3796851
62.6,0.279186
62.65,8.269081E-02
62.7,7.587801E-02
62.75,5.597802E-03
62.8,-0.1476532
62.85,-0.1081325
62.9,-0.1267904
62.95,-0.2760099
63,-0.425135
63.05,-0.4627123
63.1,-0.3542858
63.15,-0.2821764
63.2,-0.1334233
63.25,-0.2111759
63.3,-0.3539491
63.35,-0.3958762
63.4,-0.3335828
63.45,-0.2891407
63.5,-0.3430894
63.55,-0.4774738
63.6,-0.5108721
63.65,-0.4848082
63.7,-0.3998066
63.75,-0.3730547
63.8,-0.407162
63.85,-0.4625444
63.9,-0.4958868
63.95,-0.4638471
64,-0.3549304
64.05,-0.2954659
64.1,-0.2260935
64.15,-0.2141298
64.2,-0.1358398
64.25,-0.1578342
64.3,-0.2304004
64.35,-0.323009
64.4,-0.336121
64.45,-0.3389867
64.5,-0.3442884
64.55,-0.255482
64.6,-0.2218026
64.65,-0.1687163
64.7,-0.2549616
64.75,-0.1824426
64.8,-0.2870848
64.85,-0.407064
64.9,-0.4501937
64.95,-0.4361823
65,-0.3280269
65.05,-0.2722131
65.1,-0.2485988
65.15,-0.329231
65.2,-0.4444117
65.25,-0.5680082
65.3,-0.5770681
65.35,-0.4719728
65.4,-0.4880306
65.45,-0.5082931
65.5,-0.4933613
65.55,-0.4697668
65.6,-0.3875324
65.65,-0.3734842
65.7,-0.3416917
65.75,-0.3430896
65.8,-0.3556166
65.85,-0.3904649
65.9,-0.4569227
65.95,-0.4999922
66,-0.4817835
66.05,-0.4926088
66.1,-0.4564341
66.15,-0.5772896
66.2,-0.6477718
66.25,-0.5914893
66.3,-0.4910691
66.35,-0.3152197
66.4,-0.2679998
66.45,-0.3420739
66.5,-0.3711827
66.55,-0.3632325
66.6,-0.2993923
66.65,-0.2933427
66.7,-0.3083757
66.75,-0.3144231
66.8,-0.3820384
66.85,-0.3514585
66.9,-0.3782524
66.95,-0.2802111
67,-0.2054819
67.05,-0.1636453
67.1,-0.1784403
67.15,-0.3454526
67.2,-0.5493852
67.25,-0.7157432
67.3,-0.6347997
67.35,-0.5819595
67.4,-0.5071276
67.45,-0.5653304
67.5,-0.6723748
67.55,-0.6503477
67.6,-0.6801643
67.65,-0.6620132
67.7,-0.5822575
67.75,-0.6414078
67.8,-0.655742
67.85,-0.6808036
67.9,-0.6031848
67.95,-0.5429174
68,-0.5063912
68.05,-0.4482326
68.1,-0.4646493
68.15,-0.4666632
68.2,-0.5769868
68.25,-0.7436083
68.3,-0.8762848
68.35,-0.8919785
68.4,-0.8218303
68.45,-0.6872746
68.5,-0.581519
68.55,-0.5077482
68.6,-0.5504956
68.65,-0.5818376
68.7,-0.539988
68.75,-0.418867
68.8,-0.2920337
68.85,-0.2148435
68.9,-8.287878E-02
68.95,-0.1126345
69,-0.2130564
69.05,-0.281069
69.1,-0.2712829
69.15,-0.2060765
69.2,-0.2056225
69.25,-0.2712364
69.3,-0.3960051
69.35,-0.4277206
69.4,-0.3311893
69.45,2.026917E-02
69.5,1.290976
69.55,5.483532
69.6,14.75205
69.65,34.43545
69.7,68.16801
69.75,117.5794
69.8,180.4494
69.85,249.6673
69.9,314.8582
69.95,366.1983
70,394.151
70.05,394.6277
70.1,367.2217
70.15,316.8063
70.2,252.312
70.25,185.9968
70.3,128.1071
70.35,84.73053
70.4,56.03045
70.45,40.31897
70.5,31.78762
70.55,27.23794
70.6,24.20495
70.65,21.78247
70.7,19.63353
70.75,17.5169
70.8,15.769
70.85,14.25606
70.9,12.64775
70.95,11.09674
71,9.815058
71.05,8.536232
71.1,7.237485
71.15,6.234399
71.2,5.570561
71.25,4.834598
71.3,4.268497
71.35,3.941538
71.4,3.681014
71.45,3.454016
71.5,3.317557
71.55,3.269818
71.6,2.944126
71.65,2.561236
71.7,2.184927
71.75,1.958682
71.8,1.82158
71.85,1.71682
71.9,1.535755
71.95,1.312038
72,1.045725
72.05,0.8435978
72.1,0.6843685
72.15,0.6217639
