Data File Name,NK_20170802_High Sensitivity DNA Assay_DE24802700_2017-08-02_11-26-52.xad
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\NKaplan
Date Created,"Wednesday, August 02, 2017 6:26:52 PM"
Date Last Modified,"Wednesday, August 02, 2017 7:18:04 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.07.SI532
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
91.9,48.5623
91.95,38.57438
92,31.39913
92.05,25.03217
92.1,21.23817
92.15,18.02571
92.2,15.39471
92.25,13.92278
92.3,11.5317
92.35,9.604105
92.4,7.98119
92.45,6.618579
92.5,5.78544
92.55,5.297857
92.6,4.663303
92.65,4.324039
92.7,3.785858
92.75,3.304052
92.8,2.833677
92.85,2.283491
92.9,1.543321
92.95,1.246695
93,1.222734
93.05,1.030658
93.1,0.8291339
93.15,0.5324866
93.2,0.2602621
93.25,3.404503E-02
93.3,0.2854954
93.35,0.5615954
93.4,0.8221619
93.45,0.8252178
93.5,0.6210375
93.55,7.016856E-02
93.6,-0.509743
93.65,-0.6279176
93.7,-0.7779998
93.75,-0.8292877
93.8,-0.7925621
93.85,-0.5071459
93.9,-0.3689934
93.95,-0.2211827
94,-4.209312E-02
94.05,-0.2948309
94.1,-0.2379988
94.15,-0.480267
94.2,-0.713513
94.25,-1.078653
94.3,-1.075688
94.35,-0.4359392
94.4,0.5823883
94.45,3.02964
94.5,7.09735
94.55,13.35723
94.6,24.49969
94.65,42.59024
94.7,69.20365
94.75,102.9436
94.8,145.1273
94.85,194.4855
94.9,252.1185
94.95,314.9564
95,375.1222
95.05,432.729
95.1,483.521
95.15,523.4604
95.2,554.9847
95.25,569.1675
95.3,569.4266
95.35,557.5141
95.4,533.5097
95.45,497.6487
95.5,454.8342
95.55,404.7219
95.6,351.316
95.65,300.955
95.7,252.285
95.75,208.5963
95.8,170.9602
95.85,138.9033
95.9,112.0678
95.95,92.24251
96,76.1562
96.05,62.74856
96.1,52.10595
96.15,42.65394
96.2,35.00291
96.25,29.13788
96.3,24.97984
96.35,21.17182
96.4,18.44621
96.45,16.16253
96.5,14.3424
96.55,13.55757
96.6,12.52441
96.65,11.42563
96.7,10.18681
96.75,8.537753
96.8,7.389276
96.85,6.943625
96.9,6.74684
96.95,6.564442
97,5.848971
97.05,5.320437
97.1,4.921144
97.15,4.702437
97.2,4.357845
97.25,4.090425
97.3,4.406112
97.35,4.518872
97.4,4.886947
97.45,5.053208
97.5,4.762575
97.55,4.062201
97.6,3.336034
97.65,2.946935
97.7,3.257687
97.75,3.54552
97.8,3.651858
