Data File Name,Nextera2_jlc_High Sensitivity DNA Assay_DE24802700_2016-09-01_11-31-05.xad
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy
Date Created,"Thursday, September 01, 2016 6:31:05 PM"
Date Last Modified,"Friday, November 17, 2017 12:23:26 AM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
63.9,5.166474E-02
63.95,-4.205034E-02
64,-0.0507246
64.05,3.904881E-02
64.1,0.1333778
64.15,0.1585943
64.2,0.1560709
64.25,0.1441499
64.3,5.642652E-02
64.35,8.046034E-03
64.4,2.681466E-02
64.45,1.481669E-02
64.5,1.467175E-02
64.55,7.658952E-02
64.6,0.1608431
64.65,0.1045105
64.7,0.0622953
64.75,0.1003734
64.8,0.1435221
64.85,0.1683936
64.9,0.2203782
64.95,0.2798755
65,0.2243937
65.05,0.1359546
65.1,0.1887004
65.15,0.2016272
65.2,0.2708322
65.25,0.3183195
65.3,0.374216
65.35,0.3662169
65.4,0.425642
65.45,0.444831
65.5,0.4429507
65.55,0.4474185
65.6,0.4851812
65.65,0.5197842
65.7,0.4837286
65.75,0.4155294
65.8,0.3289534
65.85,0.2013909
65.9,0.2370225
65.95,0.3863376
66,0.4537805
66.05,0.4587136
66.1,0.3870925
66.15,0.2713496
66.2,0.1724811
66.25,4.830663E-02
66.3,-6.738541E-02
66.35,-0.2282025
66.4,-0.2775812
66.45,-0.2086953
66.5,-0.1113315
66.55,-4.439841E-02
66.6,-3.217132E-02
66.65,-1.728881E-02
66.7,-3.395292E-02
66.75,-0.1899619
66.8,-0.2492716
66.85,-0.2733221
66.9,-0.2799056
66.95,-0.2138964
67,-0.083101
67.05,6.563217E-02
67.1,9.594008E-02
67.15,5.279619E-02
67.2,2.381988E-02
67.25,-4.527912E-03
