Data File Name,nk_03_06_2018_High Sensitivity DNA Assay_DE24802700_2018-03-06_15-11-01.xad
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration
Date Created,"Tuesday, March 06, 2018 11:11:01 PM"
Date Last Modified,"Tuesday, March 06, 2018 11:52:20 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.07.SI532
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
52.5,0.4592082
52.55,0.5040265
52.6,0.5505539
52.65,0.6325785
52.7,0.6802092
52.75,0.6519042
52.8,0.6006852
52.85,0.5134065
52.9,0.4031174
52.95,0.3259305
53,0.3266514
53.05,0.4511083
53.1,0.4297802
53.15,0.5412956
53.2,0.7084718
53.25,0.8861571
53.3,0.9062794
53.35,0.7642046
53.4,0.7238607
53.45,0.6631895
53.5,0.4791523
53.55,0.3773619
53.6,0.3205799
53.65,0.2428003
53.7,0.175404
53.75,0.1035788
53.8,7.179475E-02
53.85,3.707277E-02
53.9,0.0668041
53.95,0.198477
54,0.3234842
54.05,0.3736588
54.1,0.3901927
54.15,0.4471281
54.2,0.485345
54.25,0.5140675
54.3,0.5480056
54.35,0.5824662
54.4,0.5662014
54.45,0.5008016
54.5,0.4860043
54.55,0.4784449
54.6,0.4934787
54.65,0.5577079
54.7,0.6480785
54.75,0.6919867
54.8,0.7132868
54.85,0.7224376
54.9,0.8672936
54.95,1.008761
55,1.179018
55.05,1.500719
55.1,2.688275
55.15,6.195178
55.2,15.76013
55.25,34.52644
55.3,68.23821
55.35,118.2196
55.4,180.7522
55.45,243.9378
55.5,293.5347
55.55,315.1457
55.6,302.5878
55.65,258.7556
55.7,197.654
55.75,134.5557
55.8,82.43378
55.85,46.83047
55.9,26.9044
55.95,17.30082
56,12.99466
56.05,10.76118
56.1,9.564102
56.15,8.801211
56.2,8.354771
56.25,8.096697
56.3,7.673071
56.35,6.973032
56.4,6.368855
56.45,6.028334
56.5,5.693506
56.55,5.454473
56.6,5.385654
56.65,5.106062
56.7,4.592977
56.75,4.160986
56.8,3.89726
56.85,3.630921
56.9,3.307538
56.95,3.113858
57,2.824393
57.05,2.485295
57.1,2.255722
57.15,2.149593
57.2,1.968666
57.25,1.948879
57.3,1.993759
57.35,2.083153
57.4,2.090276
57.45,2.100328
57.5,1.928617
57.55,1.782255
57.6,1.628741
57.65,1.661112
57.7,1.689993
57.75,1.741102
57.8,1.678119
57.85,1.640587
57.9,1.613508
57.95,1.694804
58,1.721143
58.05,1.726164
58.1,1.722401
58.15,1.693851
58.2,1.662431
58.25,1.648841
58.3,1.582645
58.35,1.539199
58.4,1.552104
58.45,1.537529
58.5,1.513738
58.55,1.558617
58.6,1.627504
58.65,1.620274
58.7,1.638114
58.75,1.644073
58.8,1.616788
58.85,1.502916
58.9,1.422837
58.95,1.365275
59,1.288201
59.05,1.162749
59.1,1.227246
59.15,1.334264
59.2,1.395474
59.25,1.435828
59.3,1.443208
59.35,1.381567
59.4,1.34913
59.45,1.426636
59.5,1.606133
59.55,1.592993
59.6,1.543435
59.65,1.569442
59.7,1.703177
59.75,2.567219
59.8,5.730218
59.85,14.22424
59.9,32.6504
59.95,65.76103
60,115.0791
60.05,177.3857
60.1,243.4606
60.15,299.6265
60.2,332.1958
60.25,332.3792
60.3,300.8206
60.35,246.3334
60.4,183.1306
60.45,124.961
60.5,80.39635
60.55,51.66406
60.6,35.78296
60.65,27.89954
60.7,23.74364
60.75,20.99881
60.8,18.95809
60.85,17.58655
60.9,16.78469
60.95,16.28813
61,15.4311
61.05,14.5466
61.1,13.67755
61.15,12.88336
61.2,12.04083
61.25,11.22667
61.3,10.07688
61.35,8.902186
61.4,7.72693
61.45,6.995821
61.5,6.276291
61.55,5.735637
61.6,5.316532
61.65,4.948053
61.7,4.523269
61.75,4.214065
61.8,3.78459
61.85,3.513784
61.9,3.294949
61.95,2.988732
62,2.707393
62.05,2.453221
62.1,2.409032
62.15,2.383004
62.2,2.292575
62.25,2.271701
62.3,2.223419
62.35,2.13437
62.4,2.087079
62.45,2.101042
62.5,2.181744
62.55,2.104367
62.6,2.000782
62.65,1.938958
62.7,1.823344
62.75,1.769251
62.8,1.733149
62.85,1.740554
62.9,1.652103
62.95,1.489991
63,1.416828
63.05,1.397562
63.1,1.427798
63.15,1.425141
63.2,1.410185
63.25,1.407328
63.3,1.309267
63.35,1.163017
63.4,0.9999264
63.45,0.944946
63.5,1.024298
63.55,1.01265
63.6,1.088205
63.65,1.24834
63.7,1.204008
63.75,1.035868
63.8,0.9982782
63.85,1.101745
63.9,1.100226
63.95,1.035609
64,1.013635
64.05,0.9746412
64.1,0.8764465
64.15,0.9463629
64.2,0.9779219
64.25,1.044822
64.3,1.077667
64.35,1.116104
64.4,1.139928
64.45,1.119252
64.5,1.087538
64.55,1.04215
64.6,1.036594
64.65,1.135534
64.7,1.239701
64.75,1.370063
64.8,1.400403
64.85,1.337533
64.9,1.219145
64.95,1.099003
65,1.123193
65.05,1.262069
65.1,1.352507
65.15,1.368382
65.2,1.291392
65.25,1.211131
65.3,1.223874
65.35,1.187714
65.4,1.234537
65.45,1.252092
65.5,1.244049
65.55,1.277693
65.6,1.345671
65.65,1.310226
65.7,1.252218
65.75,1.108809
65.8,1.120774
65.85,1.084096
65.9,1.136414
65.95,1.162868
66,1.172471
66.05,1.101863
66.1,0.9930342
66.15,0.9333386
66.2,0.8940982
66.25,0.8734048
66.3,0.8764201
66.35,0.8770304
66.4,0.9323577
66.45,0.9605971
66.5,0.9224249
66.55,0.901087
66.6,0.9331335
66.65,0.8492401
66.7,0.7424083
66.75,0.7509475
66.8,0.7692613
66.85,0.6895362
66.9,0.64392
66.95,0.6848439
67,0.6730212
67.05,0.5818757
67.1,0.5102335
67.15,0.4658302
67.2,0.4727608
67.25,0.6276964
67.3,0.894483
67.35,1.029067
67.4,1.189834
67.45,1.108461
67.5,0.9739055
67.55,0.794002
67.6,0.7099048
67.65,0.6451659
67.7,0.6427937
67.75,0.8105723
67.8,0.8581908
67.85,0.87251
67.9,0.9325881
67.95,0.8289665
68,0.7980521
68.05,0.792808
68.1,0.8142096
68.15,0.7773899
68.2,0.7381256
68.25,0.7807372
68.3,0.6818251
68.35,0.5949168
68.4,0.6127203
68.45,0.5774181
68.5,0.5052956
68.55,0.4142603
68.6,0.4109084
68.65,0.3991546
68.7,0.4589945
68.75,0.8162405
68.8,1.598442
68.85,3.539456
68.9,8.686547
68.95,20.82019
69,43.76113
69.05,80.62691
69.1,133.4613
69.15,199.5656
69.2,270.0866
69.25,332.0126
69.3,375.0893
69.35,389.5379
69.4,372.8443
69.45,329.8201
69.5,270.9421
69.55,206.7845
69.6,148.7543
69.65,102.9485
69.7,72.39593
69.75,52.628
69.8,41.27241
69.85,34.21593
69.9,29.40822
69.95,25.8938
70,23.77197
70.05,22.14478
70.1,21.21376
70.15,20.3824
70.2,19.56421
70.25,18.56087
70.3,17.5924
70.35,16.49168
70.4,15.36349
70.45,14.30445
70.5,13.22471
70.55,12.26456
70.6,11.15229
70.65,10.10032
70.7,9.059665
70.75,8.108471
70.8,7.363912
70.85,6.697693
70.9,6.219076
70.95,5.69333
71,5.200157
71.05,4.888551
71.1,4.680157
71.15,4.51477
71.2,4.229625
71.25,3.798275
71.3,3.511272
71.35,3.213927
71.4,3.17507
71.45,2.983445
71.5,2.732058
71.55,2.724466
71.6,2.596632
71.65,2.537158
71.7,2.550295
71.75,2.456613
71.8,2.255726
71.85,2.114846
71.9,2.088126
71.95,2.038737
72,1.86812
72.05,1.888785
72.1,1.902902
72.15,1.893005
72.2,1.901914
72.25,1.929661
72.3,1.761807
72.35,1.679483
72.4,1.664235
72.45,1.672402
72.5,1.579481
72.55,1.520876
72.6,1.522184
72.65,1.545
72.7,1.558955
72.75,1.546983
72.8,1.491217
72.85,1.449834
72.9,1.414326
72.95,1.410496
73,1.407497
73.05,1.326227
73.1,1.260569
73.15,1.24865
73.2,1.239562
73.25,1.260055
73.3,1.197221
73.35,1.164155
73.4,1.06907
73.45,1.068755
73.5,1.073883
73.55,1.075074
73.6,1.102739
73.65,1.198108
73.7,1.213747
73.75,1.094078
73.8,1.0777
73.85,1.0421
73.9,0.8919055
73.95,0.7859747
74,0.6716242
74.05,0.5971318
74.1,0.5956419
74.15,0.6718737
74.2,0.7816976
74.25,0.7187157
74.3,0.7664238
74.35,0.7822942
74.4,0.7315031
74.45,0.7168375
74.5,0.7056279
74.55,0.726895
74.6,0.7191011
74.65,0.7728463
74.7,0.8203799
74.75,0.7742147
74.8,0.8036297
74.85,0.883568
74.9,0.9642901
74.95,1.050069
75,1.034114
75.05,0.9690813
75.1,0.8921989
75.15,0.8419612
75.2,0.8938875
75.25,0.9080703
75.3,0.8780968
75.35,0.8496041
75.4,0.9083989
75.45,0.9017447
75.5,0.759127
75.55,0.7235316
75.6,0.765266
75.65,0.7851098
75.7,0.7820608
75.75,0.8476234
75.8,0.8929719
75.85,0.8712578
75.9,0.8050395
75.95,0.9063956
76,0.7549559
76.05,0.5513968
