Data File Name,Nexterajlc_High Sensitivity DNA Assay_DE24802700_2017-11-14_10-57-20.xad
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy
Date Created,"Tuesday, November 14, 2017 6:57:20 PM"
Date Last Modified,"Tuesday, December 05, 2017 9:51:38 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
55.75,42.75669
55.8,26.52512
55.85,17.59539
55.9,12.7073
55.95,9.83438
56,7.941345
56.05,6.693484
56.1,5.832593
56.15,4.977682
56.2,4.36696
56.25,3.811311
56.3,3.249936
56.35,2.921913
56.4,2.75344
56.45,2.633428
56.5,2.426029
56.55,2.182117
56.6,2.037466
56.65,1.883711
56.7,1.654969
56.75,1.501738
56.8,1.353027
56.85,1.151724
56.9,0.9696478
56.95,0.8078007
57,0.8451996
57.05,0.7389752
57.1,0.5806632
57.15,0.3215165
57.2,0.1384074
57.25,-4.984272E-02
57.3,-0.1669868
57.35,-0.2381292
57.4,-0.2953164
57.45,-0.424152
57.5,-0.5216438
57.55,-0.5772421
57.6,-0.6194232
57.65,-0.6325458
57.7,-0.715867
57.75,-0.7994288
57.8,-0.9272675
57.85,-1.104967
57.9,-1.158064
57.95,-1.089708
58,-1.030319
58.05,-0.9238919
58.1,-0.862915
58.15,-0.8811634
58.2,-0.9406819
58.25,-1.060744
58.3,-1.124947
58.35,-1.195297
58.4,-1.228894
58.45,-1.231174
58.5,-1.222489
58.55,-1.220435
58.6,-1.204565
58.65,-1.184007
58.7,-1.212547
58.75,-1.219947
58.8,-1.262978
58.85,-1.303736
58.9,-1.39239
58.95,-1.454634
59,-1.500687
59.05,-1.50663
59.1,-1.55795
59.15,-1.536013
59.2,-1.473145
59.25,-1.416556
59.3,-1.366948
59.35,-1.384094
59.4,-1.419223
59.45,-1.443754
59.5,-1.404896
59.55,-0.9732326
59.6,0.7205828
59.65,5.332883
59.7,15.03878
59.75,31.97909
59.8,57.99424
59.85,92.76994
59.9,133.3958
59.95,173.584
60,206.8688
60.05,225.6953
60.1,225.9863
60.15,208.613
60.2,178.692
60.25,142.2455
60.3,106.0931
60.35,75.04478
60.4,51.612
60.45,35.68493
60.5,25.7338
60.55,19.93369
60.6,16.6024
60.65,14.46764
60.7,12.83782
60.75,11.48232
60.8,10.12055
60.85,8.797539
60.9,7.892855
60.95,7.102527
61,6.347534
61.05,5.797858
61.1,5.272379
61.15,4.848369
61.2,4.388798
61.25,4.03235
61.3,3.807351
61.35,3.564791
61.4,3.289238
61.45,2.966692
61.5,2.616056
61.55,2.304494
61.6,1.98787
61.65,1.647757
61.7,1.346225
61.75,0.9907518
61.8,0.666684
61.85,0.3731538
