Data File Name,nextera_nk_0124_High Sensitivity DNA Assay_DE24802700_2018-01-23_12-13-37.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration,
Date Created,"Tuesday, January 23, 2018 8:13:37 PM",,
Date Last Modified,"Tuesday, January 23, 2018 10:22:26 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.08.SI648,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,sample 1,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
67.2,22.05719,,
67.25,21.83462,,
67.3,21.96183,,
67.35,21.71709,,
67.4,21.76418,,
67.45,22.15112,,
67.5,22.34069,,
67.55,22.64423,,
67.6,22.8265,,
67.65,22.62054,,
67.7,22.32428,,
67.75,22.06376,,
67.8,21.79728,,
67.85,21.66073,,
67.9,22.357,,
67.95,22.633,,
68,22.7175,,
68.05,22.88353,,
68.1,22.5856,,
68.15,22.2264,,
68.2,22.34497,,
68.25,22.63466,,
68.3,22.69497,,
68.35,23.1345,,
68.4,23.15076,,
68.45,22.89318,,
68.5,22.55655,,
68.55,22.40683,,
68.6,22.06287,,
68.65,21.9918,,
68.7,21.96774,,
68.75,21.67491,,
68.8,21.60487,,
68.85,21.5353,,
68.9,21.57835,,
68.95,21.03164,,
69,20.43765,,
69.05,20.16108,,
69.1,19.79909,,
69.15,19.89163,,
69.2,20.3569,,
69.25,20.57795,,
69.3,20.65669,,
69.35,20.92501,,
69.4,21.23715,,
69.45,21.47802,,
69.5,21.9133,,
69.55,22.12551,,
69.6,22.32568,,
69.65,22.51464,,
69.7,22.64976,,
69.75,22.64355,,
69.8,22.48211,,
69.85,22.05214,,
69.9,21.75014,,
69.95,21.31202,,
70,21.05818,,
70.05,21.10799,,
70.1,21.10034,,
70.15,21.21191,,
70.2,21.31808,,
70.25,20.9227,,
70.3,20.00984,,
70.35,19.58114,,
70.4,19.14323,,
70.45,18.63716,,
70.5,18.41438,,
70.55,18.41594,,
70.6,18.38868,,
70.65,18.44364,,
70.7,18.50706,,
70.75,18.30584,,
70.8,18.01874,,
70.85,17.79008,,
70.9,17.89074,,
70.95,17.91087,,
71,17.84002,,
71.05,17.47116,,
71.1,17.44534,,
71.15,17.59551,,
71.2,17.64909,,
71.25,17.84539,,
71.3,17.98594,,
71.35,17.72211,,
71.4,17.327,,
71.45,17.02258,,
71.5,16.85188,,
71.55,16.98887,,
71.6,17.76511,,
71.65,18.27693,,
71.7,18.36841,,
71.75,18.17017,,
71.8,17.97409,,
71.85,17.794,,
71.9,17.39344,,
71.95,17.30763,,
72,16.96311,,
72.05,16.77347,,
72.1,16.5501,,
72.15,16.65082,,
72.2,16.53366,,
72.25,16.44377,,
72.3,16.58473,,
72.35,16.71842,,
72.4,16.93633,,
72.45,16.95006,,
72.5,16.98351,,
72.55,16.72352,,
72.6,16.57103,,
72.65,16.67797,,
72.7,17.07951,,
72.75,17.6722,,
72.8,18.02351,,
72.85,18.15862,,
72.9,18.04305,,
72.95,17.77432,,
73,17.59425,,
73.05,17.69894,,
73.1,17.78647,,
73.15,17.96245,,
73.2,18.2436,,
73.25,18.47309,,
73.3,18.55527,,
73.35,18.9575,,
73.4,19.05872,,
73.45,18.66595,,
73.5,18.36728,,
73.55,18.52723,,
73.6,18.53725,,
73.65,18.36298,,
73.7,18.3892,,
73.75,17.80445,,
73.8,17.19934,,
73.85,17.16942,,
73.9,17.90263,,
73.95,18.48985,,
74,18.99837,,
74.05,19.39385,,
74.1,18.86564,,
74.15,18.17802,,
74.2,17.7321,,
74.25,17.52079,,
74.3,17.85598,,
74.35,18.43464,,
74.4,18.98838,,
74.45,18.93614,,
74.5,18.63928,,
74.55,18.76605,,
74.6,18.77763,,
74.65,18.91138,,
74.7,19.24074,,
74.75,19.50074,,
74.8,19.17067,,
74.85,19.12271,,
74.9,19.30663,,
74.95,19.46681,,
75,19.88756,,
75.05,20.44965,,
75.1,20.79368,,
75.15,20.55486,,
75.2,20.41365,,
75.25,20.42385,,
75.3,20.63345,,
75.35,20.97332,,
75.4,21.56888,,
75.45,21.78448,,
75.5,21.19383,,
75.55,21.0049,,
75.6,20.98335,,
75.65,21.16417,,
75.7,21.13001,,
75.75,21.06984,,
75.8,20.63187,,
75.85,20.30593,,
75.9,20.55072,,
75.95,20.74966,,
76,21.25867,,
76.05,20.67759,,
76.1,20.60727,,
76.15,20.81059,,
76.2,21.18847,,
76.25,21.47213,,
76.3,21.42639,,
76.35,21.17623,,
76.4,20.83533,,
76.45,21.30765,,
76.5,21.62415,,
76.55,22.09304,,
76.6,22.27323,,
76.65,22.3604,,
76.7,22.26709,,
76.75,22.37331,,
76.8,22.21293,,
76.85,22.07782,,
76.9,22.24074,,
76.95,22.14662,,
77,22.16279,,
77.05,22.6193,,
77.1,23.36303,,
77.15,23.66704,,
77.2,23.63019,,
77.25,23.64336,,
77.3,23.46536,,
77.35,23.45112,,
77.4,23.68266,,
77.45,24.00331,,
77.5,23.82065,,
77.55,23.29276,,
77.6,23.43752,,
77.65,23.44843,,
77.7,23.73787,,
77.75,23.9458,,
77.8,23.80178,,
77.85,23.84998,,
77.9,24.1258,,
77.95,24.93878,,
78,25.3345,,
78.05,25.51274,,
78.1,24.9152,,
78.15,23.873,,
78.2,23.56334,,
78.25,23.55636,,
78.3,23.91958,,
78.35,24.64631,,
78.4,25.51552,,
78.45,25.71236,,
78.5,25.38093,,
78.55,25.34691,,
78.6,25.61094,,
78.65,26.05802,,
78.7,26.65364,,
78.75,27.00851,,
78.8,26.58992,,
78.85,26.14992,,
78.9,25.89846,,
78.95,25.97027,,
79,26.35913,,
79.05,26.42069,,
79.1,27.07852,,
79.15,27.25134,,
79.2,27.3695,,
79.25,27.33655,,
79.3,27.51892,,
79.35,27.74351,,
79.4,27.61279,,
79.45,28.06711,,
79.5,27.81481,,
79.55,28.04887,,
79.6,27.65775,,
79.65,27.75668,,
79.7,28.1227,,
79.75,28.01055,,
79.8,28.56052,,
79.85,29.09947,,
79.9,29.3708,,
79.95,29.04453,,
80,28.89912,,
80.05,29.00193,,
80.1,28.75456,,
80.15,28.56988,,
80.2,28.83278,,
80.25,29.0954,,
80.3,29.39056,,
80.35,29.61488,,
80.4,29.75287,,
80.45,29.68235,,
80.5,30.10551,,
80.55,31.27811,,
80.6,32.05413,,
80.65,32.25422,,
80.7,32.09135,,
80.75,31.59603,,
80.8,31.22586,,
80.85,31.35186,,
80.9,31.51421,,
80.95,31.96583,,
81,32.30495,,
81.05,32.429,,
81.1,32.80586,,
81.15,33.18267,,
81.2,33.12864,,
81.25,33.27976,,
81.3,33.38968,,
81.35,33.47576,,
81.4,33.48545,,
81.45,33.58924,,
81.5,33.5757,,
81.55,33.15477,,
81.6,33.50064,,
81.65,33.72047,,
81.7,34.28756,,
81.75,34.90753,,
81.8,35.46577,,
81.85,35.77743,,
81.9,35.62972,,
81.95,35.51089,,
82,35.12093,,
82.05,35.01779,,
82.1,35.6592,,
82.15,35.43208,,
82.2,35.64027,,
82.25,35.40529,,
82.3,35.229,,
82.35,34.94684,,
82.4,35.43999,,
82.45,36.41624,,
82.5,36.87531,,
82.55,37.53607,,
82.6,37.7058,,
82.65,37.98983,,
82.7,37.90207,,
82.75,37.85332,,
82.8,37.98506,,
82.85,38.31671,,
82.9,38.85947,,
82.95,39.79034,,
83,39.82346,,
83.05,39.6851,,
83.1,39.97944,,
83.15,40.67836,,
83.2,41.18137,,
83.25,41.20121,,
83.3,41.36155,,
83.35,41.34438,,
83.4,41.04473,,
83.45,40.95809,,
83.5,40.53671,,
83.55,40.26426,,
83.6,40.29592,,
83.65,40.21559,,
83.7,39.98466,,
83.75,39.73282,,
83.8,40.13408,,
83.85,40.77101,,
83.9,41.58461,,
83.95,42.45441,,
84,42.17174,,
84.05,42.03951,,
84.1,42.84558,,
84.15,43.08918,,
84.2,43.46146,,
84.25,43.60143,,
84.3,43.85543,,
84.35,43.77997,,
84.4,44.26831,,
84.45,45.0529,,
84.5,45.148,,
84.55,45.56889,,
84.6,45.64251,,
84.65,45.44116,,
84.7,45.04396,,
84.75,45.41304,,
84.8,45.67384,,
84.85,45.81984,,
84.9,45.67215,,
84.95,45.29195,,
85,45.08927,,
85.05,45.12271,,
85.1,45.99749,,
85.15,46.45188,,
85.2,46.79293,,
85.25,46.97757,,
85.3,47.06477,,
85.35,47.20863,,
85.4,46.9469,,
85.45,46.59158,,
85.5,46.23901,,
85.55,45.99868,,
85.6,46.39299,,
85.65,47.19912,,
85.7,48.10921,,
85.75,47.87379,,
85.8,47.53292,,
85.85,47.37058,,
85.9,47.64499,,
85.95,47.93032,,
86,47.99073,,
86.05,48.2664,,
86.1,48.70697,,
86.15,49.73528,,
86.2,51.05994,,
86.25,51.58819,,
86.3,51.39434,,
86.35,50.96461,,
86.4,51.3589,,
86.45,52.30583,,
86.5,53.16878,,
