Data File Name,Nexterajlc_High Sensitivity DNA Assay_DE24802700_2017-11-14_10-57-20.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy,,
Date Created,"Tuesday, November 14, 2017 6:57:20 PM",,
Date Last Modified,"Tuesday, December 05, 2017 9:51:38 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.08.SI648,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,sample 1,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
63.1,3.55733,,
63.15,3.572437,,
63.2,3.601903,,
63.25,3.621158,,
63.3,3.62847,,
63.35,3.577451,,
63.4,3.552407,,
63.45,3.585505,,
63.5,3.682849,,
63.55,3.681304,,
63.6,3.822052,,
63.65,3.925034,,
63.7,4.063621,,
63.75,4.175341,,
63.8,4.243321,,
63.85,4.318106,,
63.9,4.406344,,
63.95,4.508634,,
64,4.659038,,
64.05,4.844917,,
64.1,5.021702,,
64.15,5.175356,,
64.2,5.136833,,
64.25,5.192628,,
64.3,5.243701,,
64.35,5.345072,,
64.4,5.591891,,
64.45,5.769022,,
64.5,5.95199,,
64.55,6.107281,,
64.6,6.193256,,
64.65,6.261158,,
64.7,6.310575,,
64.75,6.28104,,
64.8,6.252399,,
64.85,6.414979,,
64.9,6.642047,,
64.95,6.968162,,
65,7.105556,,
65.05,7.141642,,
65.1,7.167502,,
65.15,7.257058,,
65.2,7.194951,,
65.25,7.106965,,
65.3,7.178322,,
65.35,7.303127,,
65.4,7.371537,,
65.45,7.515939,,
65.5,7.807264,,
65.55,8.258446,,
65.6,8.477639,,
65.65,8.569832,,
65.7,8.811341,,
65.75,9.153864,,
65.8,9.500532,,
65.85,9.807654,,
65.9,9.982262,,
65.95,9.920636,,
66,9.68361,,
66.05,9.410888,,
66.1,9.209186,,
66.15,9.184235,,
66.2,9.357563,,
66.25,9.479291,,
66.3,9.474675,,
66.35,9.483168,,
66.4,9.533744,,
66.45,9.73372,,
66.5,9.838309,,
66.55,10.05055,,
66.6,10.17751,,
66.65,10.11978,,
66.7,10.06088,,
66.75,10.15464,,
66.8,10.40446,,
66.85,10.75424,,
66.9,11.0614,,
66.95,11.20262,,
67,11.17224,,
67.05,10.94442,,
67.1,10.81089,,
67.15,11.03033,,
67.2,11.28035,,
67.25,11.48851,,
67.3,11.80743,,
67.35,12.27432,,
67.4,12.69772,,
67.45,13.03284,,
67.5,13.32516,,
67.55,13.54318,,
67.6,13.6874,,
67.65,13.59331,,
