Data File Name,NK_SEQ_DEC122017_High Sensitivity DNA Assay_DE24802700_2017-12-12_11-57-18.xad,,
Data File Path,C:\Users\jlchiniquy\Downloads,,
Date Created,"Tuesday, December 12, 2017 7:57:18 PM",,
Date Last Modified,"Tuesday, December 12, 2017 9:25:02 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.07.SI532,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,sample 1,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
63.05,17.41266,,
63.1,17.51063,,
63.15,17.54026,,
63.2,17.63134,,
63.25,17.84886,,
63.3,18.16344,,
63.35,18.46581,,
63.4,18.67449,,
63.45,18.90782,,
63.5,19.26694,,
63.55,19.51717,,
63.6,20.03095,,
63.65,20.58113,,
63.7,21.01523,,
63.75,21.32911,,
63.8,21.75254,,
63.85,22.16883,,
63.9,22.54228,,
63.95,22.74553,,
64,22.88705,,
64.05,22.94804,,
64.1,23.08108,,
64.15,23.46525,,
64.2,24.05855,,
64.25,24.74488,,
64.3,25.14862,,
64.35,25.20967,,
64.4,25.11058,,
64.45,24.97556,,
64.5,24.87082,,
64.55,24.62339,,
64.6,24.73799,,
64.65,25.06142,,
64.7,25.31459,,
64.75,25.56298,,
64.8,25.83833,,
64.85,26.07921,,
64.9,26.13264,,
64.95,26.03174,,
65,26.09081,,
65.05,26.2083,,
65.1,26.20204,,
65.15,26.02777,,
65.2,25.8111,,
65.25,25.68952,,
65.3,25.75533,,
65.35,25.75113,,
65.4,25.84301,,
65.45,25.99237,,
65.5,26.26272,,
65.55,26.58152,,
65.6,26.93285,,
65.65,27.41749,,
65.7,27.7553,,
65.75,27.88206,,
65.8,27.97495,,
65.85,28.12135,,
65.9,28.52177,,
65.95,28.69829,,
66,28.70542,,
66.05,28.69595,,
66.1,28.74006,,
66.15,28.81737,,
66.2,28.91276,,
66.25,29.03566,,
66.3,29.10552,,
66.35,28.8715,,
66.4,28.87157,,
