Data File Name,NK_JLC_NEXTERA1_High Sensitivity DNA Assay_DE24802700_2017-02-02_14-30-54.xad
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\NKaplan
Date Created,"Thursday, February 02, 2017 10:30:54 PM"
Date Last Modified,"Thursday, February 02, 2017 11:12:15 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.07.SI532
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
39.95,0.6786936
40,0.7139677
40.05,0.8058325
40.1,1.001498
40.15,1.045859
40.2,0.9687379
40.25,0.8220639
40.3,0.6281926
40.35,0.5131661
40.4,0.5583465
40.45,0.6440695
40.5,0.706058
40.55,0.7569612
40.6,0.6522206
40.65,0.5435492
40.7,0.6026467
40.75,0.6338882
40.8,0.7171704
40.85,0.7854483
40.9,0.7050822
40.95,0.6539626
41,0.600006
41.05,0.5606732
41.1,0.5298301
41.15,0.5955775
41.2,0.6687957
41.25,0.6663651
41.3,0.8575485
41.35,0.9466258
41.4,0.9543482
41.45,0.9860323
41.5,0.9960991
41.55,0.9681937
41.6,0.9232371
41.65,0.8806363
41.7,0.8893557
41.75,0.9179105
41.8,1.115867
41.85,1.236171
41.9,1.245055
41.95,1.184456
42,0.9916128
42.05,0.9265867
42.1,0.9109417
42.15,0.9298336
42.2,0.9471828
42.25,0.8828084
42.3,0.8088134
42.35,0.8610007
42.4,0.9175811
42.45,1.133653
42.5,1.773401
42.55,3.260805
42.6,6.456399
42.65,12.55582
42.7,22.58609
42.75,36.98586
42.8,55.11373
42.85,74.99448
42.9,93.34918
42.95,105.9854
43,109.4698
43.05,101.862
43.1,85.92078
43.15,65.52417
43.2,45.08341
43.25,27.93559
43.3,15.56758
43.35,7.856891
43.4,3.782878
43.45,2.019908
43.5,1.395724
43.55,1.091845
43.6,0.8889173
43.65,0.7549701
43.7,0.7091915
43.75,0.8219174
43.8,0.8699491
43.85,0.9031106
43.9,0.8722389
43.95,0.8047525
44,0.758168
44.05,0.7487995
44.1,0.8510166
44.15,0.8978242
44.2,0.9831566
44.25,1.036417
44.3,0.9941333
44.35,1.002251
44.4,1.02302
44.45,1.123403
44.5,1.227421
44.55,1.358327
44.6,1.387504
44.65,1.293963
44.7,1.340068
44.75,1.635619
44.8,2.477232
44.85,4.679388
44.9,9.364878
44.95,18.36715
45,33.85674
45.05,56.90455
45.1,87.0136
45.15,120.7447
45.2,151.4652
45.25,171.7637
45.3,175.9537
45.35,162.8335
45.4,135.07
45.45,99.98873
45.5,66.12191
45.55,38.81752
45.6,20.32649
45.65,9.835916
45.7,5.028811
45.75,3.223352
45.8,2.296156
45.85,1.671784
45.9,1.431401
45.95,1.299769
46,1.207166
46.05,1.072188
46.1,0.9502017
46.15,0.8143411
46.2,0.7083434
46.25,0.7829114
46.3,0.8190154
46.35,0.7475359
46.4,0.5606073
46.45,0.418571
46.5,0.4123515
46.55,0.4862403
46.6,0.5174149
46.65,0.3365249
46.7,0.2477219
46.75,0.2040271
46.8,0.2182325
46.85,0.2232397
46.9,0.2572509
46.95,0.2942705
47,0.3194352
47.05,0.3602297
47.1,0.4285613
47.15,0.435269
47.2,0.3210675
47.25,0.3333436
47.3,0.4593908
47.35,0.5940893
47.4,0.733676
47.45,0.6977705
47.5,0.5673099
47.55,0.432412
47.6,0.3903409
47.65,0.4779926
47.7,0.5474072
47.75,0.6494955
47.8,0.674769
47.85,0.7495552
47.9,0.8384172
47.95,0.7966364
48,0.6475902
48.05,0.4903318
48.1,0.3974972
48.15,0.2962607
48.2,0.2478801
48.25,0.2664677
48.3,0.2344878
48.35,0.2994089
48.4,0.2933887
48.45,0.3338293
48.5,0.2634542
48.55,0.2874018
48.6,0.2462063
48.65,0.1691634
