Data File Name,nextera_nk_0124_High Sensitivity DNA Assay_DE24802700_2018-01-23_12-13-37.xad
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration
Date Created,"Tuesday, January 23, 2018 8:13:37 PM"
Date Last Modified,"Tuesday, January 23, 2018 10:22:26 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
52.45,-1.435783
52.5,-1.56689
52.55,-1.779295
52.6,-1.671028
52.65,-1.590377
52.7,-1.505768
52.75,-1.468729
52.8,-1.503044
52.85,-1.697695
52.9,-1.901565
52.95,-1.914932
53,-1.932451
53.05,-1.991436
53.1,-2.157939
53.15,-2.248061
53.2,-2.321106
53.25,-2.255112
53.3,-2.151507
53.35,-2.03757
53.4,-2.222566
53.45,-2.315683
53.5,-2.394655
53.55,-2.466222
53.6,-2.385561
53.65,-2.319696
53.7,-2.214924
53.75,-2.096481
53.8,-1.964827
53.85,-2.060539
53.9,-2.138747
53.95,-2.101982
54,-2.176831
54.05,-2.250746
54.1,-2.177377
54.15,-2.022744
54.2,-1.918485
54.25,-1.885229
54.3,-1.814013
54.35,-1.845216
54.4,-1.925115
54.45,-1.85742
54.5,-1.886397
54.55,-2.000556
54.6,-2.181918
54.65,-2.26259
54.7,-2.196662
54.75,-2.152673
54.8,-2.081965
54.85,-2.148021
54.9,-2.323243
54.95,-2.436065
55,-2.427686
55.05,-2.361558
55.1,-2.534054
55.15,-2.394718
55.2,-2.315238
55.25,-2.21331
55.3,-2.102341
55.35,-1.879189
55.4,-1.442913
55.45,0.2247471
55.5,5.53572
55.55,18.58878
55.6,47.63451
55.65,96.70361
55.7,164.3737
55.75,240.205
55.8,308.1058
55.85,349.2715
55.9,351.0844
55.95,312.375
56,243.5542
56.05,167.1904
56.1,100.8998
56.15,54.83252
56.2,28.65643
56.25,16.88147
56.3,12.21246
56.35,10.6019
56.4,9.610731
56.45,8.512508
56.5,7.551289
56.55,6.493781
56.6,5.318028
56.65,4.218447
56.7,3.444077
56.75,2.941375
56.8,2.500197
56.85,1.803761
56.9,1.176142
56.95,0.4306489
57,-6.475721E-02
57.05,-0.3178853
57.1,-0.3276728
57.15,-0.57876
57.2,-1.098752
57.25,-1.362949
57.3,-1.712143
57.35,-1.754618
57.4,-1.720624
57.45,-1.695846
57.5,-1.85384
57.55,-2.06633
57.6,-2.155297
57.65,-2.271833
57.7,-2.287775
57.75,-2.172971
57.8,-2.131163
57.85,-2.190997
57.9,-2.19657
57.95,-2.193009
58,-2.05416
58.05,-2.019347
58.1,-2.103035
58.15,-2.214515
58.2,-2.226443
58.25,-2.173707
58.3,-2.175564
58.35,-2.072479
58.4,-2.109563
58.45,-2.24426
58.5,-2.148803
58.55,-2.17402
58.6,-2.119046
58.65,-2.292057
58.7,-2.369746
58.75,-2.466484
58.8,-2.480775
58.85,-2.539429
58.9,-2.687329
58.95,-2.799798
59,-2.868196
59.05,-2.729318
59.1,-2.640723
59.15,-2.615432
59.2,-2.630924
59.25,-2.606094
59.3,-2.722613
59.35,-2.670893
59.4,-2.781686
59.45,-2.861317
59.5,-2.720471
59.55,-2.508413
59.6,-2.324993
59.65,-2.206695
59.7,-2.0844
59.75,-2.094671
59.8,-2.03226
59.85,-2.085117
59.9,-2.193993
59.95,-2.183274
60,-2.251946
60.05,-2.363658
60.1,-2.253298
60.15,-1.134863
60.2,2.967024
60.25,13.5826
60.3,37.04974
60.35,79.43825
60.4,140.6029
60.45,214.8196
60.5,288.2054
60.55,345.718
60.6,373.3448
60.65,362.9701
60.7,317.4016
60.75,247.8064
60.8,174.4262
60.85,112.1878
60.9,68.7421
60.95,43.60084
61,31.03774
61.05,25.43493
61.1,22.43366
61.15,21.0814
61.2,19.97192
61.25,18.69411
61.3,17.28181
61.35,15.40354
61.4,13.44779
61.45,11.70444
61.5,10.26906
61.55,8.678087
61.6,7.587879
