Data File Name,nk_03_06_2018_High Sensitivity DNA Assay_DE24802700_2018-03-06_15-11-01.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration,
Date Created,"Tuesday, March 06, 2018 11:11:01 PM",,
Date Last Modified,"Tuesday, March 06, 2018 11:52:20 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.07.SI532,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,sample 2,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
53.7,-2.594113,,
53.75,-2.013468,,
53.8,-1.719776,,
53.85,-1.43382,,
53.9,-1.194422,,
53.95,-0.9347154,,
54,-1.109114,,
54.05,-1.358102,,
54.1,-1.188375,,
54.15,-0.8527732,,
54.2,-0.4690393,,
54.25,-0.1212889,,
54.3,-0.1135459,,
54.35,-0.2667682,,
54.4,-0.5275382,,
54.45,-0.830228,,
54.5,-1.061781,,
54.55,-1.007355,,
54.6,-0.575896,,
54.65,-0.2209843,,
54.7,-8.46E-02,,
54.75,3.32E-02,,
54.8,-0.1511881,,
54.85,-0.6236067,,
54.9,-0.9403363,,
54.95,-0.9070691,,
55,-0.6638156,,
55.05,-0.573015,,
55.1,-0.6001284,,
55.15,-0.8542275,,
55.2,-1.308208,,
55.25,-1.85765,,
55.3,-2.171985,,
55.35,-2.193412,,
55.4,-2.002072,,
55.45,-1.567022,,
55.5,-1.103889,,
55.55,-0.9367273,,
55.6,-0.8163415,,
55.65,-0.7862998,,
55.7,-0.9721168,,
55.75,-1.232729,,
55.8,-1.322048,,
55.85,-1.135926,,
55.9,-1.173684,,
55.95,-1.361775,,
56,-1.427276,,
56.05,-1.511843,,
56.1,-1.61909,,
56.15,-1.711958,,
56.2,-1.791077,,
56.25,-1.859258,,
56.3,-1.97386,,
56.35,-1.818201,,
56.4,-1.472078,,
56.45,-1.272176,,
56.5,-1.420614,,
56.55,-1.652329,,
56.6,-1.701318,,
56.65,-1.4235,,
56.7,-0.9798501,,
56.75,-0.429586,,
56.8,6.59E-02,,
56.85,0.451353,,
56.9,0.6639282,,
56.95,0.7206182,,
57,0.6861018,,
57.05,0.4980657,,
57.1,0.1483148,,
57.15,-0.1268312,,
57.2,-0.2616549,,
57.25,-0.2195607,,
57.3,-0.3387795,,
57.35,-0.5778107,,
57.4,-0.9126869,,
57.45,-1.323548,,
57.5,-1.504656,,
57.55,-1.270845,,
57.6,-0.7553995,,
57.65,-0.3102639,,
57.7,-0.1009282,,
57.75,-7.63E-02,,
57.8,-0.2792519,,
57.85,-0.4067706,,
57.9,-0.3352289,,
57.95,-0.3095951,,
58,-0.4113312,,
58.05,-0.6197876,,
58.1,-0.8367464,,
58.15,-1.026471,,
58.2,-1.128034,,
58.25,-0.9697742,,
58.3,-0.7906492,,
58.35,-0.6607838,,
58.4,-0.5333709,,
58.45,-0.6374672,,
58.5,-0.7682722,,
58.55,-0.7410074,,
58.6,-0.5524482,,
58.65,-0.2595791,,
58.7,-0.3209281,,
58.75,-0.6642599,,
58.8,-0.9307823,,
58.85,-1.199254,,
58.9,-1.332803,,
58.95,-1.108394,,
59,-0.6755076,,
59.05,-0.389536,,
59.1,-0.3600686,,
59.15,-0.3430747,,
59.2,-0.2749819,,
59.25,-0.2479706,,
59.3,7.62E-02,,
59.35,0.7305171,,
59.4,1.081727,,
59.45,1.126919,,
59.5,1.113144,,
59.55,0.9081956,,
59.6,0.6230758,,
59.65,0.471064,,
59.7,0.4539503,,
59.75,0.302009,,
59.8,-6.57E-03,,
59.85,-0.1143153,,
59.9,-6.06E-02,,
59.95,6.17E-02,,
60,0.2035846,,
60.05,0.355848,,
60.1,0.3153444,,
60.15,8.04E-02,,
60.2,0.1992674,,
60.25,0.5272586,,
60.3,0.7515862,,
60.35,0.5734327,,
60.4,0.2027783,,
60.45,-5.98E-03,,
60.5,-7.42E-02,,
60.55,0.3095359,,
60.6,0.6965023,,
60.65,0.6867048,,
60.7,0.3407154,,
60.75,-0.1101483,,
60.8,-0.3643338,,
60.85,-0.3628591,,
60.9,-0.2195912,,
60.95,7.55E-02,,
61,0.1974875,,
61.05,0.4253881,,
61.1,0.4226051,,
61.15,0.6300709,,
61.2,0.9885709,,
61.25,1.311326,,
61.3,1.461469,,
61.35,1.317225,,
61.4,1.16054,,
61.45,1.113249,,
61.5,1.027282,,
61.55,1.113022,,
61.6,1.28468,,
61.65,1.251661,,
61.7,1.053114,,
61.75,1.06054,,
61.8,1.357134,,
61.85,1.624116,,
61.9,1.777783,,
